Date;CURMON;1MON;2MON;CURQ;1Q;2Q;3Q;1CAL;2CAL;3CAL;Rollover;ROLL
04.01.2005;;;;68719;60781;;;58250;34000;;;
05.01.2005;;;;68969;60781;;;58313;34313;;;
06.01.2005;;;;71188;62500;;;60250;35031;;;
07.01.2005;;;;73563;65875;;;63000;36688;;;
10.01.2005;;;;75125;68813;;;65124;37813;;;
11.01.2005;;;;77125;69406;59000;;65219;37688;;;
12.01.2005;;;;75750;69031;;;64969;37688;;;
13.01.2005;;;;73375;68156;;;63906;37625;;;
14.01.2005;;;;71750;66000;;;62969;36906;;;
17.01.2005;;;;69625;65500;56906;;36781;27438;;;
18.01.2005;;;;69375;64875;57531;;37031;27688;;;
19.01.2005;;;;65563;62563;54531;;36844;28063;;;
20.01.2005;;;;64000;61375;53063;;36625;27688;;;
21.01.2005;;;;63188;62000;52750;;36750;27688;;;
24.01.2005;;;;65000;62938;54875;;37625;27813;;;
25.01.2005;;;;67063;64875;56750;;39188;28375;;;
26.01.2005;;;;69125;66625;57875;;40438;29313;;;
27.01.2005;;;;72500;71125;62938;;40813;29813;;;
28.01.2005;;;;73250;71563;62750;;41313;30063;;;
31.01.2005;;;;72500;70375;62125;;41063;30063;;;
01.02.2005;;;;70875;67500;61625;;40125;29688;;;
02.02.2005;;;;68563;65625;59563;;39438;29281;;;
03.02.2005;;;;65500;64063;57313;;39313;29188;;;
04.02.2005;;;;65250;63938;57438;;39313;29188;;;
07.02.2005;;;;64813;64125;57688;;39125;29188;;;
08.02.2005;;;;66000;65125;59438;;40125;29563;;;
09.02.2005;;;;68125;68375;62000;;41375;30750;;;
10.02.2005;;;;70563;70250;64250;;42250;30500;;;
11.02.2005;;;;72667;70833;66333;;42333;30417;;;
14.02.2005;;;;73000;71188;65125;;42750;30875;;;
15.02.2005;;;;73375;71250;64750;;42375;30750;;;
16.02.2005;;;;73625;71375;65313;;42250;30688;;;
17.02.2005;;;;75438;72188;65625;;42250;30688;;;
18.02.2005;;;;76813;72500;65875;;42375;30938;;;
21.02.2005;;;;77063;72438;65750;;42313;31000;;;
22.02.2005;;;;75813;72125;64500;;42250;31125;;;
23.02.2005;;;;73375;68500;62375;;41750;30500;;;
24.02.2005;;;;71875;68063;62375;;41375;31375;;;
25.02.2005;;;;71333;67500;61833;;41417;31500;;;
28.02.2005;;;;71000;67313;60938;;41313;31125;;;
01.03.2005;;;;69938;67188;61188;54250;40938;31125;;;
02.03.2005;;;;69500;67313;61313;55250;41250;30875;;;
03.03.2005;;;;69875;67750;61313;55813;41375;31125;;;
04.03.2005;;;;69969;67938;61438;56063;41313;31125;;;
07.03.2005;;;;70906;68750;61688;55938;41563;31250;;;
08.03.2005;;;;71250;70063;62219;56250;42375;31688;;;
09.03.2005;;;;71313;70250;62356;57000;42625;31938;;;
10.03.2005;;;;70875;69625;62219;56250;42563;31938;;;
11.03.2005;;;;69375;67063;61719;55625;41750;31375;;;
14.03.2005;;;;67500;65938;60313;54563;41625;31250;;;
15.03.2005;;;;65625;64625;60063;54188;41313;30438;;;
16.03.2005;;;;64000;59563;54250;50125;41250;30250;;;
17.03.2005;;;;67500;62250;57438;49875;42125;30875;;;
18.03.2005;;;;68500;63000;58375;51875;44500;32563;;;
21.03.2005;;;;68500;63250;58875;52250;45063;32875;;;
22.03.2005;;;;67875;62750;57813;52000;44863;32875;;;
23.03.2005;;;;66375;62000;57438;51500;44313;32563;;;
24.03.2005;;;;65688;62125;57688;51125;43813;32500;;;
29.03.2005;;;;65375;61969;57625;52125;43813;32500;;;
30.03.2005;;;;65500;61969;57625;52125;43688;32500;;;
31.03.2005;;;;66063;62188;57688;52125;43750;32625;;;
01.04.2005;;;;66250;62313;57813;52375;44063;32625;;;
04.04.2005;;;;67313;62313;56813;51813;44125;32625;;;
05.04.2005;;;;68063;63250;57000;52375;45438;33500;;;
06.04.2005;;;;67813;63250;57375;52500;45188;33375;;;
07.04.2005;;;;67813;61875;57938;52875;45250;33500;;;
08.04.2005;;;;67313;60313;57875;52938;45406;34125;;;
11.04.2005;;;;67438;60438;57625;52688;45344;34125;;;
12.04.2005;;;;67875;60813;58125;52688;45719;34500;;;
13.04.2005;;;;69875;61781;59250;54000;46188;34875;;;
14.04.2005;;;;70250;62563;59250;53906;46250;34938;;;
15.04.2005;;;;70250;62563;59250;53906;46188;35000;;;
18.04.2005;;;;69125;61656;58875;53594;46000;34313;;;
19.04.2005;;;;68188;60969;57813;53219;45531;34063;;;
20.04.2005;;;;66344;58188;54688;49906;44844;33375;;;
21.04.2005;;;;65594;56031;53656;49125;43625;33094;;;
22.04.2005;;;;64813;54688;53713;48375;43625;33063;;;
25.04.2005;;;;64875;54688;53750;48688;43563;33125;;;
26.04.2005;;;;62625;53313;52438;47938;42969;32500;;;
27.04.2005;;;;58125;49438;48625;45313;40844;31500;;;
28.04.2005;;;;56063;48663;47813;44969;40563;30750;;;
29.04.2005;;;;56500;49788;49500;45969;41250;30750;;;
03.05.2005;;;;57594;50475;49375;46344;41781;30500;;;
04.05.2005;;;;57500;52063;51338;47525;41938;31250;;;
05.05.2005;;;;58781;53156;52375;47563;42438;31750;;;
06.05.2005;;;;59500;53813;53156;47813;42563;31938;;;
09.05.2005;;;;59750;52875;52719;47813;42563;32156;;;
10.05.2005;;;;58750;50625;50344;47250;41438;31719;;;
11.05.2005;;;;55938;47031;46969;43250;37813;29625;;;
12.05.2005;;;;54875;46906;46563;43250;38438;29594;;;
13.05.2005;;;;54813;46938;46875;42375;38188;29531;;;
16.05.2005;;;;53813;46563;46781;43000;38063;29469;;;
17.05.2005;;;;52375;46250;46313;42313;37750;29531;;;
18.05.2005;;;;50438;43938;43938;40656;36813;28875;;;
19.05.2005;;;;47500;42625;43000;39156;35219;28031;;;
20.05.2005;;;;47750;42875;43000;39156;35656;28219;;;
23.05.2005;;;;47563;43031;43156;38906;35563;28031;;;
24.05.2005;;;;43969;42063;42750;37875;34750;27844;;;
25.05.2005;;;;42250;40250;40813;37281;34906;27844;;;
26.05.2005;;;;41219;39563;39688;36938;34688;27719;;;
