Row Labels;4TC_PCURMON;4TC_P+1MON;4TC_P+2MON;4TC_P+3MON;4TC_PCURQ;4TC_P+1Q;4TC_P+2Q;4TC_P+3Q;4TC_P+1CAL;4TC_P+2CAL;4TC_P+3CAL;Rollover;4TC_ROLL
04.01.2005;;;;;35950;33850;;;31700;20925;;;
05.01.2005;;;;;36700;35250;;;32600;21150;;;
06.01.2005;;;;;39725;38625;;;35375;22300;;;
07.01.2005;;;;;40450;40450;;;36375;23175;;;
10.01.2005;;;;;41575;41425;;;37005;24745;;;
11.01.2005;;;;;39000;39100;;;35225;23650;;;
12.01.2005;;;;;39050;39375;;;34975;22925;;;
13.01.2005;;;;;37225;38000;;;33725;22225;;;
14.01.2005;;;;;36600;36900;;;33050;21700;;;
17.01.2005;;;;;35063;35813;32083;;21438;16138;;;
18.01.2005;;;;;36125;36775;30500;;21925;16285;;;
19.01.2005;;;;;35000;35475;30200;;21825;16075;;;
20.01.2005;;;;;33875;34350;29010;;21125;16013;;;
21.01.2005;;;;;34025;35175;29550;;21725;16500;;;
24.01.2005;;;;;34375;35310;29600;;21875;16225;;;
25.01.2005;;;;;35025;36460;30800;;22425;16410;;;
26.01.2005;;;;;37025;38250;32100;;23025;16531;;;
27.01.2005;;;;;36750;38050;32525;;23175;16563;;;
28.01.2005;;;;;37875;39025;33315;;23725;16625;;;
31.01.2005;;;;;37275;37825;32450;;23475;16250;;;
01.02.2005;;;;;35075;35300;30025;;22475;16281;;;
02.02.2005;;;;;33725;34525;29425;;21900;16000;;;
03.02.2005;;;;;33500;34125;29075;;21900;16125;;;
04.02.2005;;;;;33375;34800;29200;;22150;16225;;;
07.02.2005;;;;;33400;35125;29400;;22460;16025;;;
08.02.2005;;;;;34600;37150;31050;;22775;16325;;;
09.02.2005;;;;;36375;38850;32700;;23285;16425;;;
10.02.2005;;;;;36500;38575;33050;;23525;16400;;;
11.02.2005;;;;;36400;37675;32750;;23500;16400;;;
14.02.2005;;;;;36550;38675;33650;;23600;16425;;;
15.02.2005;;;;;36950;39050;33800;;23725;16450;;;
16.02.2005;;;;;38475;39600;34400;;24000;16450;;;
17.02.2005;;;;;38850;39550;34175;;23855;16475;;;
18.02.2005;;;;;39925;40175;34050;;23800;16625;;;
21.02.2005;;;;;39800;39600;33825;;23780;16500;;;
22.02.2005;;;;;38775;38705;33300;;23625;16400;;;
23.02.2005;;;;;37875;37325;32075;;23425;16300;;;
24.02.2005;;;;;37830;37225;32400;;23250;16325;;;
25.02.2005;;;;;37875;37525;32150;;23500;16305;;;
28.02.2005;;;;;37825;37575;32000;;23425;16300;;;
01.03.2005;;;;;37800;38010;32000;30350;23500;16300;;;
02.03.2005;;;;;38200;38200;32375;30900;23493;16525;;;
03.03.2005;;;;;38600;39325;32975;31000;23825;16625;;;
04.03.2005;;;;;39050;39700;33550;32125;23965;17250;;;
07.03.2005;;;;;39575;40265;34025;32500;23990;17525;;;
08.03.2005;;;;;39800;40375;34300;32650;24110;17625;;;
09.03.2005;;;;;39775;40300;34250;32800;24080;17600;;;
10.03.2005;;;;;40200;40775;34575;32975;24210;17700;;;
