Date;CURMON;1MON;2MON;3MON;CURQ;1Q;2Q;3Q;1CAL;2CAL;3CAL;Rollover;ROLL
03.01.2006;17680;;;;17195;16060;14240;13760;12960;12100;11550;;
04.01.2006;17762;;;;17200;15925;13990;13730;12860;12110;11400;;
05.01.2006;17790;;;;17020;15800;13900;13730;12670;12110;11400;;
06.01.2006;17910;;;;17215;16110;13960;13720;12730;12100;11320;;
09.01.2006;17860;;;;17150;15960;13840;13710;12720;12075;11270;;
10.01.2006;17670;;;;17040;15965;13750;13770;12540;12055;11320;;
11.01.2006;17510;;;;16450;15220;13570;13640;12255;11835;11100;;
12.01.2006;17300;;;;16055;14970;13165;13080;12160;11650;11050;;
13.01.2006;17280;;;;16125;14960;13145;13050;12150;11620;11050;;
16.01.2006;17050;;;;15900;14850;13075;12960;12050;11620;11050;;
17.01.2006;17080;;;;15690;14695;12975;12650;12020;11620;11070;;
18.01.2006;17010;;;;15575;14575;12875;12600;11935;11610;11070;;
19.01.2006;16780;;;;15445;14525;12915;12790;11835;11610;11070;;
20.01.2006;16725;;;;15330;14505;12795;12730;11730;11570;11120;;
23.01.2006;16580;;;;15315;14460;12860;12710;11620;11450;11120;;
24.01.2006;16635;;;;15295;14500;12910;12790;11520;11250;11100;;
25.01.2006;16625;;;;15325;14550;12970;12820;11555;11300;11100;;
26.01.2006;16670;;;;15485;14950;13420;13220;11780;11300;11100;;
27.01.2006;16700;;;;15775;15510;13660;13430;11910;11400;11100;;
30.01.2006;16670;;;;15790;15530;13485;13305;11740;11460;11125;;
31.01.2006;0;;;;15630;15430;13370;13230;11640;11360;11125;;
01.02.2006;15400;;;;15270;15340;13295;13105;11650;11200;10950;;
02.02.2006;15400;;;;15310;15420;13440;13300;11700;11220;10970;;
03.02.2006;15550;;;;15800;15980;13810;13630;11770;11270;10990;;
06.02.2006;15500;;;;15820;15770;13630;13530;11750;11250;10990;;
07.02.2006;15470;;;;15690;15820;13240;13140;11660;11200;10890;;
08.02.2006;15670;;;;16110;16135;13570;13420;11800;11200;10850;;
09.02.2006;15700;;;;16285;16645;13670;13520;11890;11260;10850;;
10.02.2006;15750;;;;16460;16960;13690;13610;11900;11170;10850;;
13.02.2006;15750;;;;16480;16830;13590;13520;11870;11130;10840;;
14.02.2006;15850;;;;16450;16890;13750;13680;11900;11150;10890;;
15.02.2006;16010;;;;16650;17140;13980;13820;11900;11100;10840;;
16.02.2006;15875;;;;16750;17395;13970;13940;11940;11040;10830;;
17.02.2006;15875;;;;16820;17750;14060;13980;11970;11060;10830;;
20.02.2006;15800;;;;16710;17530;13860;13850;11920;11040;10830;;
21.02.2006;15750;;;;16530;16930;13770;13670;11880;11000;10810;;
22.02.2006;15750;;;;16430;16600;13380;13610;11840;11000;10810;;
23.02.2006;15750;;;;16460;16700;13420;13600;11810;11000;10810;;
24.02.2006;15800;;;;16360;16720;13340;13650;11780;11000;10810;;
27.02.2006;15750;;;;16330;16770;13240;13650;11780;11000;10810;;
28.02.2006;0;;;;16260;16670;13265;13612;11780;11000;10810;;
01.03.2006;16331;;;;16331;16588;13131;13450;11738;11000;10813;;
02.03.2006;16290;;;;16290;16460;13155;13520;11800;11005;10810;;
03.03.2006;16490;;;;16490;16570;13180;13520;11760;11005;10810;;
06.03.2006;16450;;;;16450;16500;13165;13520;11760;11005;10810;;
07.03.2006;16550;;;;16550;16650;13075;13505;11745;11003;10810;;
08.03.2006;16980;;;;16980;17185;13263;13700;11895;11003;10810;;
09.03.2006;17080;;;;17080;17280;13210;13690;11968;11023;10810;;
10.03.2006;17060;;;;17060;17040;13200;13640;12030;11028;10810;;
13.03.2006;17260;;;;17260;17090;13260;13690;12025;11028;10810;;
14.03.2006;17255;;;;17255;16840;13255;13640;12025;11028;10810;;
15.03.2006;17235;;;;17235;16420;13230;13570;11945;11028;10810;;
16.03.2006;17171;;;;17171;16563;13163;13592;11896;11044;10842;;
17.03.2006;17200;;;;17200;16683;13400;13675;11896;11044;10842;;
20.03.2006;17179;;;;17179;16750;13292;13767;11917;11065;10842;;
21.03.2006;17200;;;;17200;16692;13279;13788;11871;11065;10821;;
22.03.2006;17208;;;;17208;16742;13275;13825;11908;11079;10817;;
23.03.2006;17238;;;;17238;16821;13321;13846;11883;11044;10800;;
24.03.2006;17342;;;;17342;16863;13338;13875;11896;11169;10842;;
27.03.2006;17379;;;;17379;16896;13333;13904;11888;11167;10846;;
28.03.2006;17383;;;;17383;16858;13325;13892;11875;11188;10850;;
29.03.2006;17346;;;;17346;16696;13279;13792;11818;11167;10825;;
30.03.2006;17333;;;;17333;16779;13575;13950;11871;11171;10821;;
31.03.2006;0;;;;0;16863;13692;14146;11896;11171;10821;;
03.04.2006;17579;;;;17092;13742;14033;13267;11958;11192;10821;;
04.04.2006;17508;;;;16638;13663;14083;13158;11896;11052;10821;;
05.04.2006;17458;;;;16638;13625;14042;13142;11906;11196;10821;;
06.04.2006;17479;;;;16621;13692;14092;13100;11952;11192;10821;;
07.04.2006;17621;;;;16973;13975;14258;13242;12063;11233;10846;;
10.04.2006;17758;;;;17175;14154;14540;13333;12208;11275;10846;;
11.04.2006;17875;;;;17200;14258;14683;13438;12271;11292;10850;;
12.04.2006;17958;;;;17328;14388;15008;13454;12308;11292;10850;;
13.04.2006;18108;;;;17583;14621;15325;13575;12504;11354;10850;;
18.04.2006;18129;;;;17567;14746;15425;13629;12642;11454;10892;;
19.04.2006;18288;;;;17779;14950;15742;13815;12938;11638;11017;;
20.04.2006;18296;;;;17792;15006;15731;13919;13175;11888;11121;;
21.04.2006;18438;;;;18329;15250;15892;13990;13200;11975;11135;;
24.04.2006;18454;;;;18421;15313;16088;14050;13225;12017;11196;;
25.04.2006;18471;;;;18388;15242;16021;14040;13250;12017;11238;;
26.04.2006;18446;;;;18117;15092;15858;14075;13288;12079;11242;;
27.04.2006;18475;;;;17958;14967;15733;13994;13150;12042;11258;;
28.04.2006;0;;;;17904;14800;15658;13875;13042;12000;11242;;
02.05.2006;18325;;;;17556;14783;15654;14004;13125;12042;11283;;
03.05.2006;18208;;;;17675;15029;15779;14000;13104;12025;11275;;
04.05.2006;18242;;;;17817;15283;15913;14063;13163;12025;11275;;
05.05.2006;18483;;;;18129;15946;16367;14425;13650;12154;11300;;
08.05.2006;18696;;;;18338;16117;16483;14617;13821;12379;11413;;
09.05.2006;19246;;;;18840;16475;16938;15267;14025;12542;11513;;
10.05.2006;19417;;;;19229;16729;17267;15492;14154;12608;11563;;
11.05.2006;19446;;;;19229;16692;17171;15429;14088;12767;11542;;
12.05.2006;19463;;;;19142;16633;17046;15400;14079;12750;11513;;
15.05.2006;19417;;;;19104;16450;16867;15250;14088;12842;11604;;
16.05.2006;19483;;;;19133;16625;17208;15300;14029;13004;11875;;
17.05.2006;19533;;;;19238;16704;17329;15383;14075;12992;12008;;
18.05.2006;19585;;;;19221;16750;17346;15254;14079;12958;12033;;
19.05.2006;19667;;;;19488;17050;17813;15333;14104;13017;12275;;
22.05.2006;19708;;;;19563;17625;18425;15525;14188;13138;12200;;
23.05.2006;19792;;;;19629;17754;18588;15642;14229;13192;12217;;
24.05.2006;19771;;;;19629;17721;18621;15742;14350;13204;12242;;
25.05.2006;19738;;;;19646;17846;18692;15950;14433;13304;12242;;
26.05.2006;19721;;;;19638;17900;18592;15971;14533;13354;12267;;
30.05.2006;19767;;;;19600;17983;18683;16217;14975;13458;12308;;
31.05.2006;0;;;;19663;18150;18725;16567;15242;13708;12658;;
01.06.2006;19763;;;;19763;18367;18825;16783;15796;14121;12867;;
02.06.2006;19917;;;;19867;18750;19250;16858;15875;14238;12992;;
05.06.2006;20010;;;;19950;18960;19420;16930;16025;14330;13110;;
06.06.2006;19967;;;;19908;18908;19358;16858;15892;14283;13029;;
07.06.2006;20083;;;;20100;19317;19742;17008;16054;14388;13125;;
08.06.2006;20292;;;;20300;19650;20046;17133;16246;14438;13204;;
09.06.2006;20400;;;;20400;19775;20008;17242;16308;14454;13233;;
12.06.2006;20542;;;;20546;20142;20217;17571;16525;14575;13375;;
13.06.2006;20517;;;;20521;20083;20083;17567;16550;14550;13350;;
14.06.2006;20583;;;;20583;19721;19821;17400;16363;14421;13338;;
15.06.2006;20600;;;;20600;19788;19825;17533;16375;14408;13338;;
16.06.2006;20600;;;;20600;19804;19883;17492;16379;14400;13338;;
19.06.2006;20718;;;;20718;20157;20161;17507;16364;14336;13361;;
20.06.2006;20871;;;;20871;20504;20621;17632;16482;14332;13368;;
21.06.2006;21075;;;;21075;20800;20961;17754;16554;14368;13389;;
22.06.2006;21111;;;;21111;21625;21689;18218;16907;14475;13393;;
23.06.2006;21150;;;;21186;22007;21996;18629;17304;14843;13525;;
26.06.2006;21279;;;;21279;22171;22221;18882;17464;14721;13525;;
27.06.2006;21325;;;;21325;23282;23343;19386;18200;15307;13761;;
28.06.2006;21514;;;;21514;23250;23261;19446;18282;15393;13782;;
29.06.2006;21425;;;;21425;23161;23168;19268;18111;15296;13736;;
30.06.2006;0;;;;0;23482;23471;19361;18057;15289;13736;;
03.07.2006;22829;;;;23479;23554;19143;18932;17954;15339;13718;;
04.07.2006;22839;;;;22979;23036;18750;18407;17371;15232;13693;;
05.07.2006;22793;;;;22804;22836;18564;18196;17114;15143;13639;;
06.07.2006;22729;;;;22664;22629;18446;18164;17164;15029;13582;;
