Row Labels;4TC_PCURMON;4TC_P+1MON
10/09/2009;20056;19683
11/09/2009;19745;19160
14/09/2009;19568;18960
15/09/2009;19335;18458
16/09/2009;19568;18661
17/09/2009;19688;18913
18/09/2009;19650;18713
21/09/2009;19610;18443
22/09/2009;19520;17925
23/09/2009;19468;17598
24/09/2009;19540;17903
25/09/2009;19480;17995
28/09/2009;19425;17855
29/09/2009;19458;17970
30/09/2009;18815;18080
01/10/2009;19375;18560
02/10/2009;19113;18288
05/10/2009;19050;18300
06/10/2009;19438;18878
07/10/2009;20223;19525
08/10/2009;20450;19660
09/10/2009;20456;19462
12/10/2009;20718;19600
13/10/2009;20135;19180
14/10/2009;20595;19605
15/10/2009;21030;20185
16/10/2009;21230;20160
19/10/2009;21713;20613
20/10/2009;21915;21128
21/10/2009;22188;22050
22/10/2009;22315;22805
23/10/2009;22415;23053
26/10/2009;22358;23178
27/10/2009;22258;23010
28/10/2009;22190;22770
29/10/2009;22414;23700
30/10/2009;25233;24133
02/11/2009;26300;25005
03/11/2009;25044;23203
04/11/2009;26472;24806
05/11/2009;26844;25139
06/11/2009;29250;27313
09/11/2009;30238;28315
10/11/2009;30608;28938
11/11/2009;31560;30185
12/11/2009;31920;30510
13/11/2009;32170;31215
16/11/2009;32410;31490
17/11/2009;32688;32180
18/11/2009;34270;35250
19/11/2009;32555;32310
20/11/2009;31845;31495
23/11/2009;31540;30300
24/11/2009;31634;30415
25/11/2009;31215;28910
26/11/2009;31050;26681
27/11/2009;30972;25778
30/11/2009;26500;24425
01/12/2009;28660;26475
02/12/2009;30860;28190
03/12/2009;30250;27750
04/12/2009;30222;27911
07/12/2009;29465;27113
08/12/2009;29585;26693
09/12/2009;29738;26935
10/12/2009;29428;26300
11/12/2009;29028;25620
14/12/2009;29160;25413
15/12/2009;29528;26120
16/12/2009;29500;25885
17/12/2009;29225;25538
18/12/2009;29125;25595
21/12/2009;29048;25445
22/12/2009;29223;25886
23/12/2009;29480;26700
24/12/2009;27278;26333
29/12/2009;27653;26725
30/12/2009;28097;27383
31/12/2009;28875;28239
04/01/2010;30775;29556
05/01/2010;30545;29113
06/01/2010;30525;29145
07/01/2010;30830;29268
08/01/2010;31405;29683
11/01/2010;31740;29820
12/01/2010;31130;29160
13/01/2010;30145;27690
14/01/2010;30388;27958
15/01/2010;30208;28035
18/01/2010;30097;27672
19/01/2010;29553;26855
20/01/2010;29750;27225
21/01/2010;30285;28450
22/01/2010;30295;28760
25/01/2010;30273;28533
26/01/2010;30208;27950
27/01/2010;30285;27278
28/01/2010;30150;25818
29/01/2010;24980;23680
01/02/2010;24430;23295
02/02/2010;25433;24730
03/02/2010;25597;25214
04/02/2010;25938;25743
05/02/2010;26378;26360
08/02/2010;26293;26328
09/02/2010;25490;25333
10/02/2010;24730;24468
11/02/2010;24760;24508
12/02/2010;25213;25298
15/02/2010;25244;25433
16/02/2010;25455;26243
17/02/2010;25913;26873
18/02/2010;25425;26438
19/02/2010;25413;26510
22/02/2010;25573;26580
23/02/2010;25455;26218
24/02/2010;25503;26480
25/02/2010;25758;27513
26/02/2010;27460;27305
01/03/2010;28198;27953
02/03/2010;28978;28568
03/03/2010;31315;30500
04/03/2010;32294;31094
05/03/2010;31913;31015
08/03/2010;31248;30390
09/03/2010;30470;29533
10/03/2010;31398;30635
11/03/2010;32060;31273
12/03/2010;32958;32142
15/03/2010;32638;32055
16/03/2010;32263;31553
17/03/2010;32945;32218
18/03/2010;32950;32380
19/03/2010;32963;32735
22/03/2010;32910;32778
23/03/2010;32633;32173
24/03/2010;32493;31830
25/03/2010;31940;30820
26/03/2010;31775;30650
29/03/2010;31873;30203
30/03/2010;32125;30090
31/03/2010;30139;29261
01/04/2010;30711;29569
06/04/2010;30713;29783
07/04/2010;30803;30190
08/04/2010;31163;30310
09/04/2010;31403;30373
12/04/2010;30925;29115
13/04/2010;31495;30050
14/04/2010;31750;30653
15/04/2010;31595;30178
16/04/2010;31328;29853
19/04/2010;31190;29058
20/04/2010;31245;28925
21/04/2010;31173;28730
22/04/2010;30988;28255
23/04/2010;30943;27980
26/04/2010;31070;28455
27/04/2010;31455;30298
28/04/2010;31200;30083
29/04/2010;31120;29760
30/04/2010;29675;28685
04/05/2010;30225;29150
05/05/2010;31200;29970
06/05/2010;32325;31063
07/05/2010;32847;31347
10/05/2010;33428;31831
11/05/2010;33586;31906
12/05/2010;33014;31342
13/05/2010;33461;31847
14/05/2010;34056;32347
17/05/2010;34086;32292
18/05/2010;34347;32556
19/05/2010;33944;31486
20/05/2010;34294;32169
21/05/2010;34528;32431
24/05/2010;34917;32875
25/05/2010;34859;33063
26/05/2010;34461;32400
27/05/2010;34434;31800
28/05/2010;31333;28567
01/06/2010;31028;28228
02/06/2010;29875;27139
03/06/2010;29486;26764
04/06/2010;29444;26625
07/06/2010;29522;26650
08/06/2010;28806;25558
09/06/2010;28356;24931
10/06/2010;27792;24164
11/06/2010;27181;23639
14/06/2010;26597;22339
15/06/2010;27181;22864
16/06/2010;27169;22875
17/06/2010;26708;22558
18/06/2010;26883;23286
21/06/2010;26794;23389
22/06/2010;26928;23903
23/06/2010;27083;24389
24/06/2010;26750;23375
25/06/2010;26778;23194
28/06/2010;26586;22292
29/06/2010;26350;21347
30/06/2010;20219;19806
01/07/2010;18891;18656
02/07/2010;17722;17850
05/07/2010;17778;18097
06/07/2010;17319;17539
07/07/2010;16544;16691
08/07/2010;16667;16850
09/07/2010;17583;17900
12/07/2010;17239;17719
13/07/2010;17289;18114
14/07/2010;17481;18594
15/07/2010;17889;19544
16/07/2010;18111;20264
19/07/2010;18194;20194
20/07/2010;18097;20056
21/07/2010;18181;20861
22/07/2010;18275;21206
23/07/2010;18311;21431
26/07/2010;18256;21542
27/07/2010;18347;21728
28/07/2010;18389;22275
29/07/2010;18417;23678
30/07/2010;23528;25458
02/08/2010;23139;25278
03/08/2010;21556;23417
04/08/2010;20613;22488
05/08/2010;21308;23417
06/08/2010;21938;24250
09/08/2010;22418;24969
10/08/2010;22625;25086
11/08/2010;23075;25864
12/08/2010;22656;25289
13/08/2010;22484;25063
16/08/2010;22711;25908
17/08/2010;23022;26584
18/08/2010;23014;26719
19/08/2010;23394;27444
20/08/2010;23731;28047
23/08/2010;23769;28069
24/08/2010;23317;26792
25/08/2010;22875;25694
26/08/2010;23000;25625
27/08/2010;23028;25500
31/08/2010;25450;26453
01/09/2010;26363;27809
02/09/2010;26417;27711
03/09/2010;26969;28156
06/09/2010;26844;28000
07/09/2010;27531;28553
08/09/2010;27400;28483
09/09/2010;26889;27833
10/09/2010;26939;27886
13/09/2010;26567;27319
14/09/2010;26133;26742
15/09/2010;25128;25358
16/09/2010;24692;24803
17/09/2010;24933;25442
20/09/2010;25175;26094
21/09/2010;24714;25489
22/09/2010;24386;24889
23/09/2010;24456;24986
24/09/2010;24597;24919
27/09/2010;24514;25028
28/09/2010;24153;23917
29/09/2010;23864;22889
30/09/2010;22375;23333
01/10/2010;22264;23375
04/10/2010;22208;23481
05/10/2010;22178;24567
06/10/2010;21994;24889
07/10/2010;21328;24609
08/10/2010;21297;24888
11/10/2010;21239;25183
12/10/2010;20542;24275
13/10/2010;19678;23169
14/10/2010;19314;22469
15/10/2010;18925;22208
18/10/2010;18833;21614
19/10/2010;18567;21519
20/10/2010;18488;21250
21/10/2010;18775;21925
22/10/2010;18916;22544
25/10/2010;19108;23572
26/10/2010;19111;23803
27/10/2010;18978;22397
28/10/2010;18853;21539
29/10/2010;20696;21446
01/11/2010;19272;20094
02/11/2010;18736;19300
03/11/2010;19025;19572
04/11/2010;19992;20733
05/11/2010;20063;20938
08/11/2010;20389;21267
09/11/2010;19847;21108
10/11/2010;19819;21013
11/11/2010;18839;19419
12/11/2010;18458;18825
15/11/2010;17989;18083
16/11/2010;18006;18028
17/11/2010;17572;17264
18/11/2010;17742;17483
19/11/2010;17753;17747
22/11/2010;17858;18044
23/11/2010;17969;18300
24/11/2010;18109;18956
25/11/2010;18169;19125
26/11/2010;18069;18728
29/11/2010;18086;18569
30/11/2010;18463;17891
01/12/2010;19000;18304
02/12/2010;18886;18175
03/12/2010;18779;18129
06/12/2010;18484;17931
07/12/2010;18600;17772
08/12/2010;18744;17688
09/12/2010;18475;17106
10/12/2010;18484;17025
13/12/2010;18503;17069
14/12/2010;18484;16772
15/12/2010;18209;16106
16/12/2010;17944;15988
17/12/2010;17781;15984
20/12/2010;17794;15950
21/12/2010;17328;15350
22/12/2010;17406;15272
23/12/2010;17331;15734
24/12/2010;15825;16293
29/12/2010;16000;16521
30/12/2010;15971;16421
31/12/2010;15964;16471
04/01/2011;14984;15613
05/01/2011;14997;15434
06/01/2011;15844;16266
07/01/2011;16106;16628
10/01/2011;16088;16609
11/01/2011;15816;16331
12/01/2011;15421;15850
13/01/2011;15094;15384
14/01/2011;14963;15350
17/01/2011;14804;15218
18/01/2011;14772;15331
19/01/2011;14413;14938
20/01/2011;14297;14103
21/01/2011;14100;13700
24/01/2011;13828;12578
25/01/2011;13500;11625
26/01/2011;13409;11297
27/01/2011;13525;12347
28/01/2011;13580;12406
31/01/2011;12425;13554
01/02/2011;12259;13597
02/02/2011;12191;13747
03/02/2011;12572;14584
04/02/2011;12938;15503
07/02/2011;13172;16147
08/02/2011;13350;16863
09/02/2011;13154;16461
10/02/2011;13350;17003
11/02/2011;13981;17719
14/02/2011;13703;17528
15/02/2011;13625;17591
16/02/2011;13522;17353
17/02/2011;13603;17434
18/02/2011;13600;17268
21/02/2011;13229;15825
22/02/2011;13264;15332
23/02/2011;13182;14532
24/02/2011;13303;16144
25/02/2011;13353;16694
28/02/2011;16228;17116
01/03/2011;16509;17388
02/03/2011;16728;17772
03/03/2011;16956;18406
04/03/2011;16996;18461
07/03/2011;17006;18544
08/03/2011;16616;17866
09/03/2011;16659;17656
10/03/2011;16888;17750
11/03/2011;16750;17803
14/03/2011;16509;17191
15/03/2011;16256;16613
16/03/2011;16550;17313
17/03/2011;16519;17231
18/03/2011;16559;17372
21/03/2011;16566;17488
22/03/2011;16625;17541
23/03/2011;16600;17559
24/03/2011;16500;17042
25/03/2011;16497;16978
28/03/2011;16500;16769
29/03/2011;16469;16331
30/03/2011;16347;15641
31/03/2011;15419;15738
01/04/2011;15378;15709
04/04/2011;15153;15384
05/04/2011;14836;15132
06/04/2011;14425;14771
07/04/2011;14072;14466
08/04/2011;13884;14278
11/04/2011;13750;14209
12/04/2011;13519;13722
13/04/2011;13019;12963
14/04/2011;13038;13091
15/04/2011;13059;13141
18/04/2011;13038;13116
19/04/2011;12866;12559
20/04/2011;12631;11806
21/04/2011;12671;11664
26/04/2011;12606;12222
27/04/2011;12767;13300
28/04/2011;13267;13550
03/05/2011;13769;13978
04/05/2011;14453;14266
05/05/2011;14450;14203
06/05/2011;14081;13656
09/05/2011;13731;13313
10/05/2011;13875;13400
11/05/2011;13822;13019
12/05/2011;13506;12125
13/05/2011;13375;11975
16/05/2011;12994;11338
17/05/2011;13006;11375
18/05/2011;13347;11972
19/05/2011;13400;12406
20/05/2011;13600;12921
23/05/2011;13644;13206
24/05/2011;13721;13575
25/05/2011;13875;13875
26/05/2011;13941;13681
27/05/2011;13936;13243
31/05/2011;13256;12469
01/06/2011;13213;12269
02/06/2011;13244;12150
03/06/2011;13457;12100
06/06/2011;13467;12117
07/06/2011;13746;12114
08/06/2011;14464;12693
09/06/2011;14789;12964
10/06/2011;14793;12986
13/06/2011;14779;13171
14/06/2011;14936;13443
15/06/2011;14933;13321
16/06/2011;14718;12950
17/06/2011;14689;12943
20/06/2011;14607;12793
21/06/2011;14736;13193
22/06/2011;14714;13314
