Date;4TC_PCURMON;4TC_P+1MON;4TC_P+2MON;4TC_P+3MON;4TC_P+4MON;4TC_PCURQ;4TC_P+1Q;4TC_P+2Q;4TC_P+3Q;4TC_P+4Q;4TC_P+1CAL;4TC_P+2CAL;4TC_P+3CAL;4TC_P+4CAL;Rollover P_1M;Days to CM;Tr. Days to CM;Days to 1M;Tr. Days to 1M;CM days away;1MON  days away;Tr. Days Month;Total days;Perp w C_1M;w C;w 1M;4TC_PERP_OLD;Rollover;4TC_ROLL
04.01.2005;;;;;;35950;33850;0;;;31700;20925;;;FALSE;27;20;55;40;2;18;22;20;;;;20032;;
05.01.2005;;;;;;36700;35250;0;;;32600;21150;;;FALSE;26;19;54;39;3;17;22;20;;;;19688;;
06.01.2005;;;;;;39725;38625;0;;;35375;22300;;;FALSE;25;18;53;38;4;16;22;20;;;;19450;;
07.01.2005;;;;;;40450;40450;0;;;36375;23175;;;FALSE;24;17;52;37;5;15;22;20;;;;19137;;
10.01.2005;;;;;;41575;41425;0;;;37005;24745;;;FALSE;21;16;49;36;6;14;22;20;;;;19334;;
11.01.2005;;;;;;39000;39100;0;;;35225;23650;;;FALSE;20;15;48;35;7;13;22;20;;;;19463;;
12.01.2005;;;;;;39050;39375;0;;;34975;22925;;;FALSE;19;14;47;34;8;12;22;20;;;;19348;;
13.01.2005;;;;;;37225;38000;0;;;33725;22225;;;FALSE;18;13;46;33;9;11;22;20;;;;19121;;
14.01.2005;;;;;;36600;36900;0;;;33050;21700;;;FALSE;17;12;45;32;10;10;22;20;;;;18800;;
17.01.2005;;;;;;35063;35813;32083;;;21438;16138;;;FALSE;14;11;42;31;11;9;22;20;;;;18563;;
18.01.2005;;;;;;36125;36775;30500;;;21925;16285;;;FALSE;13;10;41;30;12;8;22;20;;;;18695;;
19.01.2005;;;;;;35000;35475;30200;;;21825;16075;;;FALSE;12;9;40;29;13;7;22;20;;;;18666;;
20.01.2005;;;;;;33875;34350;29010;;;21125;16013;;;FALSE;11;8;39;28;14;6;22;20;;;;18412;;
21.01.2005;;;;;;34025;35175;29550;;;21725;16500;;;FALSE;10;7;38;27;15;5;22;20;;;;18450;;
24.01.2005;;;;;;34375;35310;29600;;;21875;16225;;;FALSE;7;6;35;26;16;4;22;20;;;;18293;;
25.01.2005;;;;;;35025;36460;30800;;;22425;16410;;;FALSE;6;5;34;25;17;3;22;20;;;;19233;;
26.01.2005;;;;;;37025;38250;32100;;;23025;16531;;;FALSE;5;4;33;24;18;2;22;20;;;;18982;;
27.01.2005;;;;;;36750;38050;32525;;;23175;16563;;;FALSE;4;3;32;23;19;1;22;20;;;;18971;;
28.01.2005;;;;;;37875;39025;33315;;;23725;16625;;;FALSE;3;2;31;22;20;0;22;20;;;;19391;;
31.01.2005;;;;;;37275;37825;32450;;;23475;16250;;;FALSE;0;1;28;21;21;1;22;22;;;;20182;;
01.02.2005;;;;;;35075;35300;30025;;;22475;16281;;;TRUE;27;20;58;43;1;22;21;23;;;;20425;;
02.02.2005;;;;;;33725;34525;29425;;;21900;16000;;;FALSE;26;19;57;42;2;21;21;23;;;;20456;;
03.02.2005;;;;;;33500;34125;29075;;;21900;16125;;;FALSE;25;18;56;41;3;20;21;23;;;;20606;;
04.02.2005;;;;;;33375;34800;29200;;;22150;16225;;;FALSE;24;17;55;40;4;19;21;23;;;;20008;;
07.02.2005;;;;;;33400;35125;29400;;;22460;16025;;;FALSE;21;16;52;39;5;18;21;23;;;;20430;;
08.02.2005;;;;;;34600;37150;31050;;;22775;16325;;;FALSE;20;15;51;38;6;17;21;23;;;;20861;;
09.02.2005;;;;;;36375;38850;32700;;;23285;16425;;;FALSE;19;14;50;37;7;16;21;23;;;;20980;;
10.02.2005;;;;;;36500;38575;33050;;;23525;16400;;;FALSE;18;13;49;36;8;15;21;23;;;;21346;;
11.02.2005;;;;;;36400;37675;32750;;;23500;16400;;;FALSE;17;12;48;35;9;14;21;23;;;;21626;;
14.02.2005;;;;;;36550;38675;33650;;;23600;16425;;;FALSE;14;11;45;34;10;13;21;23;;;;22133;;
15.02.2005;;;;;;36950;39050;33800;;;23725;16450;;;FALSE;13;10;44;33;11;12;21;23;;;;22527;;
16.02.2005;;;;;;38475;39600;34400;;;24000;16450;;;FALSE;12;9;43;32;12;11;21;23;;;;22713;;
17.02.2005;;;;;;38850;39550;34175;;;23855;16475;;;FALSE;11;8;42;31;13;10;21;23;;;;22823;;
18.02.2005;;;;;;39925;40175;34050;;;23800;16625;;;FALSE;10;7;41;30;14;9;21;23;;;;22709;;
21.02.2005;;;;;;39800;39600;33825;;;23780;16500;;;FALSE;7;6;38;29;15;8;21;23;;;;22557;;
22.02.2005;;;;;;38775;38705;33300;;;23625;16400;;;FALSE;6;5;37;28;16;7;21;23;;;;23271;;
23.02.2005;;;;;;37875;37325;32075;;;23425;16300;;;FALSE;5;4;36;27;17;6;21;23;;;;24463;;
24.02.2005;;;;;;37830;37225;32400;;;23250;16325;;;FALSE;4;3;35;26;18;5;21;23;;;;26119;;
25.02.2005;;;;;;37875;37525;32150;;;23500;16305;;;FALSE;3;2;34;25;19;4;21;23;;;;24819;;
28.02.2005;;;;;;37825;37575;32000;;;23425;16300;;;FALSE;0;1;31;24;20;3;21;23;;;;26301;;
