Date;4TC_PCURMON;4TC_P+1MON;4TC_FORWARD
2009-09-10;20056.0;19683.0;20056.0
2009-09-11;19745.0;19160.0;19745.0
2009-09-14;19568.0;18960.0;19568.0
2009-09-15;19335.0;18458.0;19335.0
2009-09-16;19568.0;18661.0;19568.0
2009-09-17;19688.0;18913.0;19688.0
2009-09-18;19650.0;18713.0;19650.0
2009-09-21;19610.0;18443.0;19610.0
2009-09-22;19520.0;17925.0;19520.0
2009-09-23;19468.0;17598.0;17598.0
2009-09-24;19540.0;17903.0;17903.0
2009-09-25;19480.0;17995.0;17995.0
2009-09-28;19425.0;17855.0;17855.0
2009-09-29;19458.0;17970.0;17970.0
2009-09-30;18815.0;18080.0;18080.0
2009-10-01;19375.0;18560.0;19375.0
2009-10-02;19113.0;18288.0;19113.0
2009-10-05;19050.0;18300.0;19050.0
2009-10-06;19438.0;18878.0;19438.0
2009-10-07;20223.0;19525.0;20223.0
2009-10-08;20450.0;19660.0;20450.0
2009-10-09;20456.0;19462.0;20456.0
2009-10-12;20718.0;19600.0;20718.0
2009-10-13;20135.0;19180.0;20135.0
2009-10-14;20595.0;19605.0;20595.0
2009-10-15;21030.0;20185.0;21030.0
2009-10-16;21230.0;20160.0;21230.0
2009-10-19;21713.0;20613.0;21713.0
2009-10-20;21915.0;21128.0;21915.0
2009-10-21;22188.0;22050.0;22188.0
2009-10-22;22315.0;22805.0;22315.0
2009-10-23;22415.0;23053.0;23053.0
2009-10-26;22358.0;23178.0;23178.0
2009-10-27;22258.0;23010.0;23010.0
2009-10-28;22190.0;22770.0;22770.0
2009-10-29;22414.0;23700.0;23700.0
2009-10-30;25233.0;24133.0;24133.0
2009-11-02;26300.0;25005.0;26300.0
2009-11-03;25044.0;23203.0;25044.0
2009-11-04;26472.0;24806.0;26472.0
2009-11-05;26844.0;25139.0;26844.0
2009-11-06;29250.0;27313.0;29250.0
2009-11-09;30238.0;28315.0;30238.0
2009-11-10;30608.0;28938.0;30608.0
2009-11-11;31560.0;30185.0;31560.0
2009-11-12;31920.0;30510.0;31920.0
2009-11-13;32170.0;31215.0;32170.0
2009-11-16;32410.0;31490.0;32410.0
2009-11-17;32688.0;32180.0;32688.0
2009-11-18;34270.0;35250.0;34270.0
2009-11-19;32555.0;32310.0;32555.0
2009-11-20;31845.0;31495.0;31845.0
2009-11-23;31540.0;30300.0;30300.0
2009-11-24;31634.0;30415.0;30415.0
2009-11-25;31215.0;28910.0;28910.0
2009-11-26;31050.0;26681.0;26681.0
2009-11-27;30972.0;25778.0;25778.0
2009-11-30;26500.0;24425.0;24425.0
2009-12-01;28660.0;26475.0;28660.0
2009-12-02;30860.0;28190.0;30860.0
2009-12-03;30250.0;27750.0;30250.0
2009-12-04;30222.0;27911.0;30222.0
2009-12-07;29465.0;27113.0;29465.0
2009-12-08;29585.0;26693.0;29585.0
2009-12-09;29738.0;26935.0;29738.0
2009-12-10;29428.0;26300.0;29428.0
2009-12-11;29028.0;25620.0;29028.0
2009-12-14;29160.0;25413.0;29160.0
2009-12-15;29528.0;26120.0;29528.0
2009-12-16;29500.0;25885.0;29500.0
2009-12-17;29225.0;25538.0;29225.0
2009-12-18;29125.0;25595.0;29125.0
2009-12-21;29048.0;25445.0;29048.0
2009-12-22;29223.0;25886.0;29223.0
2009-12-23;29480.0;26700.0;29480.0
2009-12-24;27278.0;26333.0;26333.0
2009-12-29;27653.0;26725.0;26725.0
2009-12-30;28097.0;27383.0;27383.0
2009-12-31;28875.0;28239.0;28239.0
2010-01-04;30775.0;29556.0;30775.0
2010-01-05;30545.0;29113.0;30545.0
2010-01-06;30525.0;29145.0;30525.0
2010-01-07;30830.0;29268.0;30830.0
2010-01-08;31405.0;29683.0;31405.0
2010-01-11;31740.0;29820.0;31740.0
2010-01-12;31130.0;29160.0;31130.0
2010-01-13;30145.0;27690.0;30145.0
2010-01-14;30388.0;27958.0;30388.0
2010-01-15;30208.0;28035.0;30208.0
2010-01-18;30097.0;27672.0;30097.0
2010-01-19;29553.0;26855.0;29553.0
2010-01-20;29750.0;27225.0;29750.0
2010-01-21;30285.0;28450.0;30285.0
2010-01-22;30295.0;28760.0;28760.0
2010-01-25;30273.0;28533.0;28533.0
2010-01-26;30208.0;27950.0;27950.0
2010-01-27;30285.0;27278.0;27278.0
2010-01-28;30150.0;25818.0;25818.0
2010-01-29;24980.0;23680.0;23680.0
2010-02-01;24430.0;23295.0;24430.0
2010-02-02;25433.0;24730.0;25433.0
2010-02-03;25597.0;25214.0;25597.0
2010-02-04;25938.0;25743.0;25938.0
2010-02-05;26378.0;26360.0;26378.0
2010-02-08;26293.0;26328.0;26293.0
2010-02-09;25490.0;25333.0;25490.0
2010-02-10;24730.0;24468.0;24730.0
2010-02-11;24760.0;24508.0;24760.0
2010-02-12;25213.0;25298.0;25213.0
2010-02-15;25244.0;25433.0;25244.0
2010-02-16;25455.0;26243.0;25455.0
2010-02-17;25913.0;26873.0;25913.0
2010-02-18;25425.0;26438.0;25425.0
2010-02-19;25413.0;26510.0;26510.0
2010-02-22;25573.0;26580.0;26580.0
2010-02-23;25455.0;26218.0;26218.0
2010-02-24;25503.0;26480.0;26480.0
2010-02-25;25758.0;27513.0;27513.0
2010-02-26;27460.0;27305.0;27305.0
2010-03-01;28198.0;27953.0;28198.0
2010-03-02;28978.0;28568.0;28978.0
2010-03-03;31315.0;30500.0;31315.0
2010-03-04;32294.0;31094.0;32294.0
2010-03-05;31913.0;31015.0;31913.0
2010-03-08;31248.0;30390.0;31248.0
2010-03-09;30470.0;29533.0;30470.0
2010-03-10;31398.0;30635.0;31398.0
2010-03-11;32060.0;31273.0;32060.0
2010-03-12;32958.0;32142.0;32958.0
2010-03-15;32638.0;32055.0;32638.0
2010-03-16;32263.0;31553.0;32263.0
2010-03-17;32945.0;32218.0;32945.0
2010-03-18;32950.0;32380.0;32950.0
2010-03-19;32963.0;32735.0;32963.0
2010-03-22;32910.0;32778.0;32910.0
2010-03-23;32633.0;32173.0;32633.0
2010-03-24;32493.0;31830.0;31830.0
2010-03-25;31940.0;30820.0;30820.0
2010-03-26;31775.0;30650.0;30650.0
2010-03-29;31873.0;30203.0;30203.0
2010-03-30;32125.0;30090.0;30090.0
2010-03-31;30139.0;29261.0;29261.0
2010-04-01;30711.0;29569.0;30711.0
2010-04-06;30713.0;29783.0;30713.0
2010-04-07;30803.0;30190.0;30803.0
2010-04-08;31163.0;30310.0;31163.0
2010-04-09;31403.0;30373.0;31403.0
2010-04-12;30925.0;29115.0;30925.0
2010-04-13;31495.0;30050.0;31495.0
2010-04-14;31750.0;30653.0;31750.0
2010-04-15;31595.0;30178.0;31595.0
2010-04-16;31328.0;29853.0;31328.0
2010-04-19;31190.0;29058.0;31190.0
2010-04-20;31245.0;28925.0;31245.0
2010-04-21;31173.0;28730.0;31173.0
2010-04-22;30988.0;28255.0;30988.0
2010-04-23;30943.0;27980.0;27980.0
2010-04-26;31070.0;28455.0;28455.0
2010-04-27;31455.0;30298.0;30298.0
2010-04-28;31200.0;30083.0;30083.0
2010-04-29;31120.0;29760.0;29760.0
2010-04-30;29675.0;28685.0;28685.0
2010-05-04;30225.0;29150.0;30225.0
2010-05-05;31200.0;29970.0;31200.0
2010-05-06;32325.0;31063.0;32325.0
2010-05-07;32847.0;31347.0;32847.0
2010-05-10;33428.0;31831.0;33428.0
2010-05-11;33586.0;31906.0;33586.0
2010-05-12;33014.0;31342.0;33014.0
2010-05-13;33461.0;31847.0;33461.0
2010-05-14;34056.0;32347.0;34056.0
2010-05-17;34086.0;32292.0;34086.0
2010-05-18;34347.0;32556.0;34347.0
2010-05-19;33944.0;31486.0;33944.0
2010-05-20;34294.0;32169.0;34294.0
2010-05-21;34528.0;32431.0;32431.0
2010-05-24;34917.0;32875.0;32875.0
2010-05-25;34859.0;33063.0;33063.0
2010-05-26;34461.0;32400.0;32400.0
2010-05-27;34434.0;31800.0;31800.0
2010-05-28;31333.0;28567.0;28567.0
2010-06-01;31028.0;28228.0;31028.0
2010-06-02;29875.0;27139.0;29875.0
2010-06-03;29486.0;26764.0;29486.0
2010-06-04;29444.0;26625.0;29444.0
2010-06-07;29522.0;26650.0;29522.0
2010-06-08;28806.0;25558.0;28806.0
2010-06-09;28356.0;24931.0;28356.0
2010-06-10;27792.0;24164.0;27792.0
2010-06-11;27181.0;23639.0;27181.0
2010-06-14;26597.0;22339.0;26597.0
2010-06-15;27181.0;22864.0;27181.0
2010-06-16;27169.0;22875.0;27169.0
2010-06-17;26708.0;22558.0;26708.0
2010-06-18;26883.0;23286.0;26883.0
2010-06-21;26794.0;23389.0;26794.0
2010-06-22;26928.0;23903.0;26928.0
2010-06-23;27083.0;24389.0;24389.0
2010-06-24;26750.0;23375.0;23375.0
2010-06-25;26778.0;23194.0;23194.0
