Row Labels;4TC_PCURMON;4TC_P+1MON;Days until M CURM;Days until M +1MON;CURM days away;1MON  days away;22;Total days;Perpetual
10/09/2009;20056;19683;20;51;2;29;;31;20032
11/09/2009;19745;19160;19;50;3;28;;31;19688
14/09/2009;19568;18960;16;47;6;25;;31;19450
15/09/2009;19335;18458;15;46;7;24;;31;19137
16/09/2009;19568;18661;14;45;8;23;;31;19334
17/09/2009;19688;18913;13;44;9;22;;31;19463
18/09/2009;19650;18713;12;43;10;21;;31;19348
21/09/2009;19610;18443;9;40;13;18;;31;19121
22/09/2009;19520;17925;8;39;14;17;;31;18800
23/09/2009;19468;17598;7;38;15;16;;31;18563
24/09/2009;19540;17903;6;37;16;15;;31;18695
25/09/2009;19480;17995;5;36;17;14;;31;18666
28/09/2009;19425;17855;2;33;20;11;;31;18412
29/09/2009;19458;17970;1;32;21;10;;31;18450
30/09/2009;18815;18080;0;31;22;9;;31;18293
01/10/2009;19375;18560;30;60;8;38;;46;19233
02/10/2009;19113;18288;29;59;7;37;;44;18982
05/10/2009;19050;18300;26;56;4;34;;38;18971
06/10/2009;19438;18878;25;55;3;33;;36;19391
07/10/2009;20223;19525;24;54;2;32;;34;20182
08/10/2009;20450;19660;23;53;1;31;;32;20425
09/10/2009;20456;19462;22;52;0;30;;30;20456
12/10/2009;20718;19600;19;49;3;27;;30;20606
13/10/2009;20135;19180;18;48;4;26;;30;20008
14/10/2009;20595;19605;17;47;5;25;;30;20430
15/10/2009;21030;20185;16;46;6;24;;30;20861
16/10/2009;21230;20160;15;45;7;23;;30;20980
19/10/2009;21713;20613;12;42;10;20;;30;21346
20/10/2009;21915;21128;11;41;11;19;;30;21626
21/10/2009;22188;22050;10;40;12;18;;30;22133
22/10/2009;22315;22805;9;39;13;17;;30;22527
23/10/2009;22415;23053;8;38;14;16;;30;22713
26/10/2009;22358;23178;5;35;17;13;;30;22823
27/10/2009;22258;23010;4;34;18;12;;30;22709
28/10/2009;22190;22770;3;33;19;11;;30;22557
29/10/2009;22414;23700;2;32;20;10;;30;23271
30/10/2009;25233;24133;1;31;21;9;;30;24463
02/11/2009;26300;25005;28;59;6;37;;43;26119
03/11/2009;25044;23203;27;58;5;36;;41;24819
04/11/2009;26472;24806;26;57;4;35;;39;26301
05/11/2009;26844;25139;25;56;3;34;;37;26706
06/11/2009;29250;27313;24;55;2;33;;35;29139
09/11/2009;30238;28315;21;52;1;30;;31;30176
10/11/2009;30608;28938;20;51;2;29;;31;30500
11/11/2009;31560;30185;19;50;3;28;;31;31427
12/11/2009;31920;30510;18;49;4;27;;31;31738
13/11/2009;32170;31215;17;48;5;26;;31;32016
16/11/2009;32410;31490;14;45;8;23;;31;32173
17/11/2009;32688;32180;13;44;9;22;;31;32541
18/11/2009;34270;35250;12;43;10;21;;31;34586
19/11/2009;32555;32310;11;42;11;20;;31;32468
20/11/2009;31845;31495;10;41;12;19;;31;31710
23/11/2009;31540;30300;7;38;15;16;;31;30940
24/11/2009;31634;30415;6;37;16;15;;31;31005
25/11/2009;31215;28910;5;36;17;14;;31;29951
26/11/2009;31050;26681;4;35;18;13;;31;28513
27/11/2009;30972;25778;3;34;19;12;;31;27789
30/11/2009;26500;24425;0;31;22;9;;31;25027
01/12/2009;28660;26475;30;61;8;39;;47;28288
02/12/2009;30860;28190;29;60;7;38;;45;30445
