Shipping Intelligence Network Timeseries;;;;;;;;;;;;;;;
Created 23 February 2024 11:54;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Date;Volume Index;Volume Index;Volume Index;Volume Index;Volume Index;% Yr/Yr;% Yr/Yr 3mma;% Yr/Yr;% Yr/Yr 3mma;% Yr/Yr;% Yr/Yr 3mma;% Yr/Yr;% Yr/Yr 3mma;% Yr/Yr;% Yr/Yr 3mma
Date;Monthly Global Seaborne Iron Ore Trade Indicator;Monthly Global Seaborne Coal Trade Indicator;Monthly Global Seaborne Grain Trade Indicator;Monthly Global Seaborne Minor Bulk Trade Indicator;Monthly Global Seaborne Dry Bulk Trade Indicator;Monthly Global Seaborne Iron Ore Trade Indicator;Monthly Global Seaborne Iron Ore Trade Indicator;Monthly Global Seaborne Coal Trade Indicator;Monthly Global Seaborne Coal Trade Indicator;Monthly Global Seaborne Grain Trade Indicator;Monthly Global Seaborne Grain Trade Indicator;Monthly Global Seaborne Minor Bulk Trade Indicator;Monthly Global Seaborne Minor Bulk Trade Indicator;Monthly Global Seaborne Dry Bulk Trade Indicator;Monthly Global Seaborne Dry Bulk Trade Indicator
Jan-2015;90.97185;98.42619;99.28498;98.15036;96.12152;4.99316;4.99316;2.48243;2.48243;7.47234;7.47234;-9.23017;-9.23017;-0.44899;-0.44899
Feb-2015;93.13151;88.13828;92.27086;89.188;90.38385;8.77539;6.88428;-7.67759;-2.59758;1.83541;4.65387;0.2136;-4.50829;0.45125;0.00113
Mar-2015;102.79265;105.13673;105.53336;100.21756;102.92574;9.64098;7.80318;2.23241;-0.98758;3.70459;4.33744;3.26092;-1.91855;4.87025;1.62417
Apr-2015;99.01565;94.07101;103.27275;102.41278;99.02894;-0.24158;6.05826;-3.06628;-2.83715;-7.10962;-0.52321;2.43064;1.96839;-0.91107;1.47014
May-2015;101.33026;92.18542;109.12526;99.92716;98.96519;-4.72923;1.55672;-10.93709;-3.92365;10.17033;2.2551;0.92818;2.20658;-3.52523;0.14465
Jun-2015;109.43232;93.28516;105.55471;101.71161;102.00586;10.48557;1.83826;-5.79324;-6.59887;27.44745;10.16939;4.26055;2.53979;5.07131;0.21167
Jul-2015;108.93131;92.63949;110.27486;108.02882;104.05741;1.9866;2.58098;-6.79538;-7.84191;10.87798;16.16525;2.95893;2.71589;0.63568;0.72725
Aug-2015;101.74868;95.53462;102.80876;98.99195;99.1923;1.67308;4.71509;-3.81855;-5.46906;-2.31324;12.00406;2.67011;3.29653;-0.00848;1.8995
Sep-2015;112.30717;93.4883;109.47518;109.49039;105.72343;6.30513;3.32161;-8.89098;-6.50164;13.18425;7.24966;4.6463;3.42512;2.0201;0.88243
Oct-2015;110.85118;95.29715;123.03192;102.19593;104.78613;6.34684;4.77502;-4.54913;-5.75289;8.00418;6.29173;-0.77723;2.17973;1.27213;1.09459
Nov-2015;102.0208;93.54769;110.81245;99.56989;99.61728;6.52073;6.3909;-7.11175;-6.85062;6.14767;9.11203;1.35356;1.74088;0.86553;1.38592
Dec-2015;118.3088;97.75971;118.50752;108.27815;109.26709;1.30984;4.7258;-6.1746;-5.94516;15.65624;9.93603;6.08738;2.22124;1.87617;1.33795
Jan-2016;92.62441;87.946;95.8301;92.60118;91.55771;1.81656;3.21571;-10.64777;-7.97804;-3.47977;6.10805;-5.65375;0.59573;-4.74796;-0.66875
Feb-2016;101.6648;85.26531;115.06749;90.2044;94.59796;9.16263;4.09634;-3.25961;-6.694;24.70621;12.29423;1.13963;0.52442;4.66246;0.59689
Mar-2016;109.73645;97.33292;126.70822;104.30899;106.02565;6.75516;5.91145;-7.42253;-7.10997;20.06461;13.76368;4.08255;-0.14386;3.01179;0.97543
Apr-2016;105.60859;88.06892;122.67127;96.364;99.23558;6.65848;7.52542;-6.38038;-5.68751;18.78377;21.18487;-5.90628;-0.22803;0.20866;2.62764
May-2016;113.88673;91.99427;113.14333;100.57292;103.35151;12.39163;8.60176;-0.20735;-4.67009;3.68207;14.17682;0.64623;-0.3925;4.43218;2.55088
Jun-2016;108.53209;96.42985;104.1936;105.43908;103.669;-0.82264;6.07582;3.37104;-1.07223;-1.28949;7.05879;3.66474;-0.53177;1.63044;2.09043
Jul-2016;107.3495;91.66722;107.7886;98.19239;100.01008;-1.45211;3.3723;-1.04952;0.70472;-2.2546;0.046;-9.10538;-1.59813;-3.88952;0.72436
Aug-2016;117.99475;99.35259;125.10783;101.66385;108.18931;15.96686;4.56404;3.99643;2.10598;21.68986;6.04859;2.6991;-0.91384;9.07027;2.27039
Sep-2016;113.03228;100.73826;110.32219;102.7605;106.03842;0.64565;5.05347;7.75493;3.56728;0.7737;6.73632;-6.14656;-4.18428;0.29794;1.82623
Oct-2016;110.51663;96.22716;109.01966;98.08062;102.38582;-0.3018;5.43691;0.97591;4.24242;-11.38912;3.69148;-4.02688;-2.49145;-2.29068;2.35918
Nov-2016;114.55422;101.91194;109.32075;100.47453;106.0467;12.28517;4.20967;8.94116;5.89066;-1.34615;-3.98719;0.90855;-3.0883;6.45412;1.48713
Dec-2016;123.3369;107.00291;108.39346;101.02381;110.31365;4.24998;5.41112;9.45502;6.45736;-8.53453;-7.08993;-6.69972;-3.27268;0.9578;1.70708
