;OC PRODUCTION - TOTAL INDUSTRY EXCL. CONSTRUCTION VOLA;OC PRODUCTION - TOTAL INDUSTRY EXCL. CONSTRUCTION SADJ
15/01/1975;43,15;
15/02/1975;42,7;
15/03/1975;42,54;
15/04/1975;42,24;
15/05/1975;42,17;
15/06/1975;42,43;
15/07/1975;42,46;
15/08/1975;42,84;
15/09/1975;43,05;
15/10/1975;43,4;
15/11/1975;43,56;
15/12/1975;44;
15/01/1976;44,54;3,2176
15/02/1976;45,01;5,4056
15/03/1976;45,26;6,3883
15/04/1976;45,7;8,1974
15/05/1976;46,14;9,4032
15/06/1976;46,28;9,0592
15/07/1976;46,32;9,0936
15/08/1976;46,5;8,5285
15/09/1976;46,92;8,9935
15/10/1976;46,97;8,2219
15/11/1976;47,47;8,9642
15/12/1976;47,67;8,3442
15/01/1977;47,94;7,6303
15/02/1977;47,95;6,5177
15/03/1977;48,15;6,3938
15/04/1977;48,28;5,6426
15/05/1977;48,26;4,5919
15/06/1977;48,4;4,5909
15/07/1977;48,11;3,8603
15/08/1977;48,54;4,3969
15/09/1977;48,64;3,6714
15/10/1977;48,62;3,5132
15/11/1977;48,63;2,4476
15/12/1977;49;2,7903
15/01/1978;48,89;1,9999
15/02/1978;48,78;1,7442
15/03/1978;49,12;1,9987
15/04/1978;50,12;3,8068
15/05/1978;49,91;3,4332
15/06/1978;50,09;3,4957
15/07/1978;50,43;4,8237
15/08/1978;50,71;4,4634
15/09/1978;51,13;5,1251
15/10/1978;51,24;5,3859
15/11/1978;51,56;6,0329
15/12/1978;52,38;6,8971
15/01/1979;51,43;5,1852
15/02/1979;51,82;6,2295
15/03/1979;52,16;6,1879
15/04/1979;52,1;3,9552
15/05/1979;52,54;5,2632
15/06/1979;52,8;5,4161
15/07/1979;52,86;4,8198
15/08/1979;52,97;4,4501
15/09/1979;52,86;3,3707
15/10/1979;52,98;3,3874
15/11/1979;53,28;3,337
15/12/1979;53,49;2,1227
15/01/1980;53,63;4,2764
15/02/1980;53,74;3,6941
15/03/1980;53,73;3,0102
15/04/1980;53,09;1,8951
15/05/1980;52,26;-0,5282
15/06/1980;52,05;-1,431
15/07/1980;51,68;-2,2305
15/08/1980;51,64;-2,493
15/09/1980;51,5;-2,576
15/10/1980;51,96;-1,9228
15/11/1980;52,51;-1,457
15/12/1980;52,61;-1,6526
15/01/1981;52,36;-2,3678
15/02/1981;52,61;-2,095
15/03/1981;52,6;-2,0963
15/04/1981;52,53;-1,0457
15/05/1981;52,59;0,618
15/06/1981;52,88;1,593
15/07/1981;53,18;2,9121
15/08/1981;52,91;2,4405
15/09/1981;53,21;3,3228
15/10/1981;53,15;2,3063
15/11/1981;52,84;0,6292
15/12/1981;52,43;-0,3352
15/01/1982;52,19;-0,3226
15/02/1982;52,35;-0,488
15/03/1982;52,36;-0,4482
15/04/1982;52,15;-0,7348
15/05/1982;51,82;-1,4511
15/06/1982;51,5;-2,6057
15/07/1982;51,26;-3,6194
15/08/1982;51,04;-3,53
15/09/1982;51,2;-3,77
15/10/1982;50,53;-4,9416
15/11/1982;50,54;-4,3533
15/12/1982;50,39;-3,8985
15/01/1983;51,01;-2,2638
15/02/1983;50,87;-2,8364
15/03/1983;51,16;-2,3018
15/04/1983;51,52;-1,2011
15/05/1983;51,63;-0,3675
