"","Capesize.Bulkcarrier.Fleet...Average.Age..Years.","Panamax.Bulkcarrier.Fleet...Average.Age..Years.","Handymax.Bulkcarrier.Fleet...Average.Age..Years.","Handysize.Bulkcarrier.Fleet...Average.Age..Years."
"01-02-2006",11.026559381733,11.5678010095997,11.2226133672471,19.038412984305
"02-02-2006",11.0280784500112,11.5688148230245,11.2236148812111,19.0433514564002
"03-02-2006",11.0295411278956,11.5699264257813,11.2246432784824,19.048136378745
"04-02-2006",11.0309474168504,11.5711358189827,11.2256985600906,19.0527677561298
"05-02-2006",11.0322973182833,11.5724430038394,11.2267807270919,19.0572455931903
"06-02-2006",11.0335908335457,11.5738479816601,11.2278897805697,19.0615698944095
"07-02-2006",11.0348279639325,11.575350753851,11.2290257216343,19.0657406641158
"08-02-2006",11.036008710682,11.5769513219166,11.2301885514227,19.0697579064848
"09-02-2006",11.0371330749763,11.578649687459,11.231378271099,19.0736216255374
"10-02-2006",11.0382010579409,11.5804458521786,11.2325948818542,19.0773318251418
"11-02-2006",11.0392126606449,11.5823398178731,11.2338383849061,19.0808885090118
"12-02-2006",11.0401678841011,11.5843315864388,11.2351087814995,19.0842916807083
"13-02-2006",11.0410667292654,11.5864211598693,11.2364060729062,19.0875413436372
"14-02-2006",11.0419091970378,11.5886085402565,11.2377302604248,19.0906375010522
"15-02-2006",11.0426952882616,11.5908937297899,11.2390813453808,19.0935801560524
"16-02-2006",11.0434250037237,11.5932767307572,11.2404593291269,19.0963693115836
"17-02-2006",11.0440983441546,11.5957575455439,11.2418642130423,19.0990049704379
"18-02-2006",11.0447153102284,11.5983361766334,11.2432959985335,19.1014871352539
"19-02-2006",11.0452759025626,11.601012626607,11.2447546870337,19.103815808516
"20-02-2006",11.0457801217185,11.6037868981439,11.2462402800033,19.1059909925557
"21-02-2006",11.0462279682007,11.6066589940214,11.2477527789291,19.1080126895499
"22-02-2006",11.0466194424577,11.6096289171145,11.2492921853255,19.109880901523
"23-02-2006",11.0469545448812,11.6126966703963,11.2508585007333,19.1115956303449
"24-02-2006",11.0472332758068,11.6158622569376,11.2524517267206,19.113156877732
"25-02-2006",11.0474556355134,11.6191256799075,11.2540718648822,19.1145646452474
"26-02-2006",11.0476216242236,11.6224869425726,11.25571891684,19.1158189343001
"27-02-2006",11.0477312421036,11.625946048298,11.2573928842427,19.1169197461459
"28-02-2006",11.0477844892633,11.6295030005461,11.2590937687661,19.117867081887
"01-03-2006",11.0477813657557,11.6331578028778,11.2608215721128,19.118660942471
"02-03-2006",11.0478354613228,11.636572778685,11.2624271898828,19.1193638713293
"03-03-2006",11.0479467760188,11.6397479313863,11.2639106236834,19.1199758691648
"04-03-2006",11.048115309955,11.6426832641602,11.2652718749996,19.1204969365905
"05-03-2006",11.0483410633001,11.645378779945,11.2665109451941,19.1209270741279
"06-03-2006",11.0486240362802,11.6478344814391,11.2676278355072,19.1212662822076
"07-03-2006",11.0489642291787,11.6500503711008,11.268622547057,19.1215145611695
"08-03-2006",11.0493616423358,11.6520264511483,11.2694950808393,19.1216719112616
"09-03-2006",11.0498162761494,11.6537627235596,11.2702454377273,19.1217383326414
"10-03-2006",11.0503281310749,11.6552591900729,11.2708736184725,19.1217138253759
"11-03-2006",11.0508972076245,11.6565158521864,11.2713796237036,19.1215983894405
"12-03-2006",11.0515235063677,11.6575327111577,11.2717634539269,19.1213920247188
"13-03-2006",11.0522070279317,11.6583097680051,11.272025109527,19.1210947310055
"14-03-2006",11.0529477730008,11.6588470235063,11.2721645907656,19.1207065080023
"15-03-2006",11.0537457423162,11.659144478199,11.2721818977823,19.1202273553203
"16-03-2006",11.0546009366769,11.6592021323811,11.2720770305946,19.1196572724802
"17-03-2006",11.055513356939,11.6590199861103,11.2718499890975,19.1189962589116
"18-03-2006",11.056483004016,11.6585980392044,11.2715007730636,19.1182443139525
"19-03-2006",11.0575098788782,11.6579362912407,11.2710293821434,19.11740143685
"20-03-2006",11.0585939825539,11.657034741557,11.270435815865,19.1164676267607
"21-03-2006",11.059735316128,11.6558933892507,11.269720073634,19.1154428827491
"22-03-2006",11.0609338807435,11.6545122331794,11.2688821547344,19.1143272037906
"23-03-2006",11.0621896775998,11.6528912719603,11.267922058327,19.1131205887674
"24-03-2006",11.063502707954,11.6510305039708,11.2668397834508,19.1118230364715
"25-03-2006",11.0648729731208,11.6489299273483,11.2656353290224,19.1104345456047
"26-03-2006",11.0663004744717,11.6465895399899,11.2643086938361,19.1089551147766
"27-03-2006",11.0677852134358,11.6440093395529,11.262859876564,19.1073847425066
"28-03-2006",11.0693271914993,11.6411893234543,11.2612888757555,19.1057234272225
"29-03-2006",11.0709264102057,11.6381294888711,11.2595956898381,19.1039711672608
"30-03-2006",11.0725828711562,11.6348298327405,11.257780317117,19.1021279608681
"31-03-2006",11.0742965760087,11.631290351759,11.2558427557747,19.100193806199
"01-04-2006",11.0760675264788,11.6275110423838,11.2537830038716,19.098168701317
"02-04-2006",11.0776507556611,11.6238374651633,11.2518009051805,19.0962582349808
"03-04-2006",11.0790462651405,11.6202696164202,11.2498964577169,19.0944624052776
"04-04-2006",11.0802540563138,11.6168074925829,11.2480696595747,19.0927812104099
"05-04-2006",11.0812741303903,11.6134510901857,11.2463205089249,19.0912146486947
"06-04-2006",11.0821064883909,11.6102004058686,11.2446490040166,19.0897627185636
"07-04-2006",11.0827511311491,11.6070554363776,11.2430551431767,19.0884254185637
"08-04-2006",11.0832080593098,11.6040161785643,11.2415389248095,19.0872027473553
"09-04-2006",11.0834772733309,11.6010826293865,11.2401003473973,19.0860947037155
"10-04-2006",11.0835587734816,11.5982547859074,11.2387394094999,19.0851012865344
"11-04-2006",11.0834525598436,11.5955326452963,11.2374561097551,19.0842224948181
"12-04-2006",11.0831586323104,11.5929162048281,11.2362504468782,19.0834583276865
"13-04-2006",11.082676990588,11.5904054618838,11.2351224196622,19.0828087843748
"14-04-2006",11.082007634194,11.5880004139498,11.2340720269779,19.0822738642322
"15-04-2006",11.0811505624586,11.5857010586187,11.2330992677739,19.0818535667242
"16-04-2006",11.0801057745237,11.5835073935888,11.2322041410764,19.0815478914296
"17-04-2006",11.0788732693434,11.5814194166639,11.2313866459893,19.0813568380422
"18-04-2006",11.077453045684,11.5794371257541,11.2306467816942,19.081280406371
"19-04-2006",11.0758451021237,11.5775605188749,11.2299845474506,19.0813185963395
"20-04-2006",11.074049437053,11.5757895941478,11.2293999425955,19.0814714079859
"21-04-2006",11.0720660486741,11.5741243497999,11.2288929665437,19.0817388414628
"22-04-2006",11.0698949350018,11.5725647841644,11.2284636187877,19.0821208970387
"23-04-2006",11.0675360938627,11.5711108956799,11.2281118988976,19.0826175750954
"24-04-2006",11.0649895228953,11.5697626828912,11.2278378065215,19.0832288761303
"25-04-2006",11.0622552195505,11.5685201444484,11.2276413413848,19.083954800755
"26-04-2006",11.0593331810912,11.567383279108,11.227522503291,19.084795349697
"27-04-2006",11.0562234045923,11.5663520857318,11.2274812921212,19.0857505237974
"28-04-2006",11.0529258869406,11.5654265632874,11.2275177078339,19.086820324012
"29-04-2006",11.0494406248353,11.5646067108485,11.2276317504658,19.088004751412
"30-04-2006",11.0457676147872,11.5638925275942,11.2278234201308,19.0893038071824
"01-05-2006",11.0419068531199,11.5632840128098,11.228092717021,19.0907174926249
"02-05-2006",11.0382333265788,11.5627138362864,11.2284169957581,19.0920815903431
"03-05-2006",11.0347470314864,11.5621819974532,11.2287962566669,19.0933961017028
"04-05-2006",11.031447964353,11.5616884957778,11.2292305001269,19.0946610280199
"05-05-2006",11.028336121876,11.5612333307664,11.2297197265728,19.0958763705606
"06-05-2006",11.0254115009401,11.560816501963,11.2302639364944,19.0970421305412
"07-05-2006",11.0226740986179,11.5604380089506,11.2308631304365,19.0981583091293
"08-05-2006",11.0201239121691,11.5600978513503,11.2315173089988,19.099224907442
"09-05-2006",11.0177609390406,11.5597960288214,11.2322264728363,19.1002419265468
"10-05-2006",11.0155851768673,11.559532541062,11.2329906226589,19.101209367462
"11-05-2006",11.0135966234709,11.5593073878082,11.2338097592314,19.1021272311559
"12-05-2006",11.0117952768609,11.5591205688346,11.2346838833739,19.1029955185473
"13-05-2006",11.010181135234,11.5589720839542,11.2356129959614,19.1038142305055
"14-05-2006",11.0087541969744,11.5588619330184,11.236597097924,19.1045833678501
"15-05-2006",11.0075144606538,11.5587901159169,11.2376361902469,19.1053029313512
"16-05-2006",11.006461925031,11.5587566325779,11.2387302739703,19.1059729217288
"17-05-2006",11.0055965890523,11.5587614829677,11.2398793501892,19.1065933396537
"18-05-2006",11.0049184518516,11.5588046670913,11.2410834200541,19.107164185747
"19-05-2006",11.0044275127502,11.5588861849919,11.2423424847702,19.1076854605802
"20-05-2006",11.0041237712563,11.5590060367511,11.243656545598,19.1081571646749
"21-05-2006",11.004007227066,11.5591642224888,11.2450256038527,19.1085792985034
"22-05-2006",11.0040778800627,11.5593607423635,11.2464496609051,19.1089518624884
"23-05-2006",11.004335730317,11.5595955965718,11.2479287181806,19.1092748570027
"24-05-2006",11.0047807780872,11.5598687853489,11.2494627771598,19.1095482823698
"25-05-2006",11.0054130238186,11.5601803089681,11.2510518393783,19.1097721388632
"26-05-2006",11.0062324681443,11.5605301677415,11.2526959064269,19.1099464267072
"27-05-2006",11.0072391118845,11.5609183620191,11.2543949799515,19.1100711460763
"28-05-2006",11.008432956047,11.5613448921897,11.2561490616527,19.1101462970951
"29-05-2006",11.0098140018266,11.5618097586801,11.2579581532866,19.1101718798388
"30-05-2006",11.0113822506061,11.5623129619556,11.2598222566641,19.1101478943332
"31-05-2006",11.0131377039553,11.5628545025202,11.2617413736513,19.1100743405543
"01-06-2006",11.0150803636314,11.5634343809159,11.2637155061692,19.1099512184285
"02-06-2006",11.0168807985271,11.5639713920916,11.265616877765,19.1098417387276
"03-06-2006",11.0185390104445,11.564465536585,11.2674454903419,19.1097459013418
"04-06-2006",11.0200550010438,11.5649168148907,11.2692013457306,19.1096637061755
"05-06-2006",11.0214287718424,11.5653252274606,11.2708844456886,19.1095951531463
"06-06-2006",11.0226603242156,11.5656907747034,11.2724947919009,19.1095402421858
"07-06-2006",11.0237496593961,11.566013456985,11.2740323859794,19.1094989732383
"08-06-2006",11.0246967784745,11.5662932746286,11.2754972294634,19.1094713462633
"09-06-2006",11.0255016823988,11.566530227914,11.2768893238192,19.1094573612326
"10-06-2006",11.026164371975,11.5667243170788,11.2782086704404,19.1094570181326
"11-06-2006",11.0266848478663,11.566875542317,11.2794552706478,19.109470316963
"12-06-2006",11.0270631105934,11.56698390378,11.280629125689,19.1094972577361
"13-06-2006",11.0272991605356,11.5670494015764,11.2817302367395,19.1095378404804
"14-06-2006",11.0273929979289,11.5670720357718,11.2827586049014,19.1095920652358
"15-06-2006",11.027344622867,11.5670518063886,11.283714231204,19.1096599320559
"16-06-2006",11.0271540353018,11.5669887134068,11.2845971166041,19.1097414410101
"17-06-2006",11.0268212350424,11.5668827567632,11.2854072619854,19.1098365921787
"18-06-2006",11.0263462217558,11.5667339363517,11.286144668159,19.1099453856578
"19-06-2006",11.025728994966,11.5665422520232,11.2868093358629,19.1100678215555
"20-06-2006",11.0249695540557,11.566307703586,11.2874012657627,19.1102038999949
"21-06-2006",11.0240678982644,11.5660302908052,11.2879204584507,19.1103536211125
"22-06-2006",11.0230240266897,11.5657100134032,11.2883669144469,19.1105169850579
"23-06-2006",11.0218379382863,11.5653468710593,11.288740634198,19.1106939919942
"24-06-2006",11.020509631867,11.56494086341,11.2890416180782,19.1108846420988
"25-06-2006",11.0190391061022,11.5644919900488,11.2892698663888,19.111088935563
"26-06-2006",11.0174263595198,11.5640002505264,11.2894253793582,19.1113068725909
"27-06-2006",11.0156713905054,11.5634656443507,11.2895081571422,19.1115384534008
"28-06-2006",11.0137741973021,11.5628881709864,11.2895181998237,19.1117836782245
"29-06-2006",11.0117347780108,11.5622678298553,11.2894555074125,19.1120425473073
"30-06-2006",11.00955313059,11.5616046203367,11.2893200798462,19.1123150609088
"01-07-2006",11.0072292528556,11.5608985417664,11.2891119169889,19.1126012193014
"02-07-2006",11.0051253746566,11.5602211709256,11.2889113210667,19.1129044148312
"03-07-2006",11.0032414938866,11.5595725071359,11.2887182918787,19.1132246478012
"04-07-2006",11.0015776086601,11.5589525497483,11.2885328292317,19.1135619185327
"05-07-2006",11.0001337173112,11.558361298142,11.28835493294,19.1139162273629
"06-07-2006",10.9989098183948,11.5577987517252,11.2881846028256,19.1142875746467
"07-07-2006",10.9979059106854,11.5572649099347,11.2880218387179,19.1146759607555
"08-07-2006",10.9971219931782,11.5567597722361,11.287866640454,19.1150813860783
"09-07-2006",10.9965580650885,11.5562833381239,11.2877190078786,19.1155038510212
"10-07-2006",10.9962141258516,11.5558356071209,11.2875789408438,19.1159433560064
"11-07-2006",10.9960901751235,11.5554165787791,11.2874464392095,19.1163999014748
"12-07-2006",10.9961862127799,11.555026252679,11.287321502843,19.1168734878826
"13-07-2006",10.9965022389169,11.5546646284297,11.2872041316192,19.1173641157041
"14-07-2006",10.997038253851,11.5543317056695,11.2870943254207,19.1178717854309
"15-07-2006",10.9977942581188,11.5540274840649,11.2869920841375,19.1183964975707
"16-07-2006",10.9987702524769,11.5537519633114,11.2868974076673,19.118938252649
"17-07-2006",10.9999662379026,11.5535051431333,11.2868102959153,19.1194970512081
"18-07-2006",11.0013822155929,11.5532870232835,11.2867307487943,19.1200728938074
"19-07-2006",11.0030181869652,11.5530976035434,11.2866587662246,19.120665781023
"20-07-2006",11.0048741536574,11.5529368837237,11.2865943481343,19.1212757134489
"21-07-2006",11.0069501175273,11.5528048636633,11.2865374944588,19.1219026916952
"22-07-2006",11.009246080653,11.5527015432302,11.2864882051412,19.1225467163899
"23-07-2006",11.011762045333,11.5526269223209,11.2864464801322,19.1232077881777
"24-07-2006",11.0144980140857,11.5525810008606,11.2864123193899,19.1238859077199
"25-07-2006",11.0174539896502,11.5525637788036,11.2863857228803,19.124581075696
"26-07-2006",11.0206299749852,11.5525752561323,11.2863666905766,19.1252932928012
"27-07-2006",11.0240259732703,11.5526154328586,11.28635522246,19.1260225597492
"28-07-2006",11.027641987905,11.5526843090223,11.2863513185187,19.1267688772695
"29-07-2006",11.031478022509,11.5527818846927,11.286354978749,19.1275322461095
"30-07-2006",11.0355340809223,11.5529081599672,11.2863662031545,19.128312667033
"31-07-2006",11.0398101672054,11.5530631349724,11.2863849917465,19.1291101408216
"01-08-2006",11.0443062856386,11.5532468098633,11.2864113445435,19.1299246682731
"02-08-2006",11.0485706446532,11.5534532827466,11.2865270888894,19.1307491732102
"03-08-2006",11.0526032485178,11.5536825538286,11.2867322248998,19.1315836564576
"04-08-2006",11.0564041012692,11.553934623339,11.28702675278,19.1324281188505
"05-08-2006",11.0599732067124,11.5542094915303,11.2874106728249,19.1332825612349
"06-08-2006",11.0633105684201,11.5545071586773,11.2878839854189,19.1341469844656
"07-08-2006",11.0664161897331,11.5548276250782,11.2884466910356,19.135021389408
"08-08-2006",11.0692900737604,11.5551708910539,11.2890987902385,19.1359057769378
"09-08-2006",11.0719322233788,11.5555369569478,11.2898402836803,19.1368001479399
"10-08-2006",11.0743426412332,11.5559258231264,11.2906711721032,19.1377045033094
"11-08-2006",11.0765213297368,11.5563374899791,11.2915914563392,19.1386188439527
"12-08-2006",11.0784682910702,11.5567719579179,11.2926011373092,19.1395431707838
"13-08-2006",11.0801835271825,11.5572292273777,11.2937002160242,19.1404774847286
"14-08-2006",11.0816670397908,11.5577092988163,11.2948886935844,19.1414217867225
"15-08-2006",11.0829188303802,11.5582121727142,11.2961665711793,19.1423760777105
"16-08-2006",11.0839389002037,11.558737849575,11.2975338500884,19.1433403586481
"17-08-2006",11.0847272502825,11.5592863299247,11.2989905316802,19.1443146305002
"18-08-2006",11.0852838814056,11.5598576143124,11.300536617413,19.1452988942425
"19-08-2006",11.0856087941305,11.56045170331,11.3021721088345,19.1462931508601
"20-08-2006",11.0857019887822,11.5610685975122,11.3038970075819,19.1472974013484
"21-08-2006",11.0855634654542,11.5617082975366,11.3057113153819,19.1483116467128
"22-08-2006",11.0851932240077,11.5623708040236,11.3076150340507,19.1493358879684
"23-08-2006",11.0845912640721,11.5630561176362,11.3096081654939,19.1503701261405
"24-08-2006",11.0837575850449,11.5637642390607,11.3116907117069,19.1514143622646
"25-08-2006",11.0826921860914,11.5644951690058,11.3138626747744,19.1524685973861
