"","Monthly.Global.Seaborne.Iron.Ore.Trade.Indicator..Volume.Index.","Monthly.Global.Seaborne.Coal.Trade.Indicator..Volume.Index.","Monthly.Global.Seaborne.Grain.Trade.Indicator..Volume.Index.","Monthly.Global.Seaborne.Minor.Bulk.Trade.Indicator..Volume.Index.","Monthly.Global.Seaborne.Dry.Bulk.Trade.Indicator..Volume.Index.","Monthly.Global.Seaborne.Iron.Ore.Trade.Indicator....Yr.Yr.","Monthly.Global.Seaborne.Iron.Ore.Trade.Indicator....Yr.Yr.3mma.","Monthly.Global.Seaborne.Coal.Trade.Indicator....Yr.Yr.","Monthly.Global.Seaborne.Coal.Trade.Indicator....Yr.Yr.3mma.","Monthly.Global.Seaborne.Grain.Trade.Indicator....Yr.Yr.","Monthly.Global.Seaborne.Grain.Trade.Indicator....Yr.Yr.3mma.","Monthly.Global.Seaborne.Minor.Bulk.Trade.Indicator....Yr.Yr.","Monthly.Global.Seaborne.Minor.Bulk.Trade.Indicator....Yr.Yr.3mma.","Monthly.Global.Seaborne.Dry.Bulk.Trade.Indicator....Yr.Yr.","Monthly.Global.Seaborne.Dry.Bulk.Trade.Indicator....Yr.Yr.3mma."
"01-01-2015",98.0946911960614,102.075504825781,107.339917542392,102.970747207262,101.472016164291,3.70735367503341,4.37002466428442,4.97843113497294,3.95733368083636,6.84278977804036,7.90383150068173,-7.43823497263682,-10.0873487546844,0.370381345801418,-0.332087582011736
"02-01-2015",97.157360375948,102.051955631676,106.635677149922,102.704525896771,101.044856626255,3.8996259538805,4.39274632131433,5.06328525235162,3.9577168013199,7.11258966418655,7.94727352636142,-7.92364345733178,-10.1197705551598,0.220781420763921,-0.346997900965643
"03-01-2015",96.2854744498495,102.008415303201,105.958381271659,102.437258429493,100.632693048638,4.06059620564218,4.41738707621408,5.12266553609506,3.94789820834085,7.3528682817833,7.9832495002306,-8.36500188876763,-10.142929590421,0.0904987858695245,-0.36116759540289
"04-01-2015",95.4753790404204,101.944777343315,105.306402422181,102.168334484712,100.234278052417,4.19557601631351,4.44394972348337,5.15662751341793,3.92787769304187,7.56542832556338,8.0117638979715,-8.7639678347119,-10.1568262042782,-0.0229110050279118,-0.374597539586921
"05-01-2015",94.7236787558746,101.86088609737,104.678173950774,101.897139959048,99.8484058675164,4.30901935713531,4.47243727558306,5.16520294257208,3.89765482955445,7.75186453115143,8.03282026699006,-9.12203965351742,-10.1614606030356,-0.121575818980805,-0.387288562138943
"06-01-2015",94.0272229587167,101.756536372392,104.072186276897,101.623055564121,99.4739086836407,4.40466955368326,4.50285296327678,5.14839984254402,3.85722897498961,7.91357563959721,8.04642122685725,-9.4405621213639,-10.1568328554936,-0.207346868350819,-0.399241446089043
"07-01-2015",93.3830925603237,101.631472935186,103.486983262789,101.345455412364,99.1096531159966,4.48568280555851,4.53520023599739,5.10620250055365,3.80659926942429,8.05177489145597,8.05256846963496,-9.7207314827056,-10.1429428929505,-0.281833444439536,-0.410456928924508
"08-01-2015",92.7885877860292,101.485389888059,102.921158714489,101.063705587778,98.7545367751964,4.55473233249802,4.56948276223816,5.03857145736096,3.74576463588321,8.16749912914794,8.05126276008649,-9.96359994289245,-10.1197905092009,-0.346433112041428,-0.420935702635324
"09-01-2015",92.2412168594274,101.317929920605,102.373353002871,100.777162698346,98.4074849309673,4.61409658344652,4.6057044299688,4.94544347036728,3.67472378031574,8.26161657588761,8.04250393577175,-10.1700796198375,-10.0873753605333,-0.402357931448639,-0.430678413756872
"10-01-2015",91.7386855584718,101.12868343575,101.842249796569,100.485172406811,98.0674472595692,4.66573441925247,4.64386934707639,4.82673145447637,3.59347519156855,8.33483334954428,8.026290907027,-10.3409459695708,-10.0456969657245,-0.45065719990162,-0.439685663409824
