Shipping Intelligence Network Timeseries;;;;;;;;;;;;;;;
Created 23 February 2024 11:49;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;No;No;No;No;CGT;CGT;CGT;CGT;DWT;DWT;DWT;GT;GT;GT;DWT
Date;Handysize Bulker Orderbook [No];Handymax Bulker Orderbook [No];Panamax Bulker Orderbook [No];Capesize Bulker Orderbook [No];Handysize Bulker Orderbook [CGT];Handymax Bulker Orderbook [CGT];Panamax Bulker Orderbook [CGT];Capesize Bulker Orderbook [CGT];Handysize Bulker Orderbook [DWT];Handymax Bulker Orderbook [DWT];Capesize Bulker Orderbook [DWT];Handysize Bulker Orderbook [GT];Handymax Bulker Orderbook [GT];Capesize Bulker Orderbook [GT];Panamax Bulker Orderbook [DWT]
Jan-1996;172;170;115;87;1806823.56209;2606719.83501;2097688.43558;2546505.9953;4279487;7920464;14410324;2733538;4979451;7326729;8366621
Feb-1996;178;178;109;80;1863554.26136;2719523.52114;1989011.57956;2351769.87497;4411953;8284575;13354932;2817651;5182567;6784432;7933475
Mar-1996;178;173;114;77;1876111.3379;2643618.60296;2081301.53839;2265714.32132;4441650;8055164;12877183;2847125;5038303;6540349;8305238
Apr-1996;177;176;114;77;1871505.26159;2683612.64382;2080568.42316;2284734.16067;4437412;8188660;13092098;2846758;5107364;6637133;8300788
May-1996;171;185;117;75;1816895.28997;2814860.4793;2136206.8195;2237268.53198;4296173;8618263;12892040;2771059;5349401;6529533;8531451
Jun-1996;170;175;118;74;1807795.38325;2657897.74887;2151062.24083;2205069.2615;4274398;8152153;12703300;2759075;5044365;6431404;8589919
Jul-1996;166;169;124;69;1758637.78764;2575276.00863;2262660.95738;2058354.9515;4140053;7882311;11863397;2678756;4899125;6009289;9040128
Aug-1996;163;169;133;63;1721643.40537;2574881.23822;2431818.07878;1885601.75204;4064719;7888547;10897235;2616072;4897816;5518249;9713826
Sep-1996;165;166;134;64;1740215.83933;2525291.15135;2449171.05008;1912643.67734;4098573;7748399;11026833;2641356;4798175;5591923;9786353
Oct-1996;161;160;132;59;1694569.82072;2423884.56224;2413626.71514;1765979.18858;3988096;7465233;10189024;2567032;4591580;5168665;9644177
Nov-1996;162;167;130;56;1706495.99309;2534019.39573;2378982.82478;1679033.84252;4019095;7801408;9702685;2589539;4806210;4920312;9507022
Dec-1996;168;162;127;52;1764031.2843;2457642.11279;2324928.21905;1557047.71558;4135803;7578581;9003570;2671248;4660499;4559543;9291573
Jan-1997;167;159;124;53;1757007.17969;2403548.71634;2269692.07935;1585956.42665;4124602;7441958;9153995;2663581;4546733;4642171;9072624
Feb-1997;159;151;118;42;1660953.68609;2283061.59233;2161518.85238;1262565.73996;3886570;7087064;7313521;2506897;4318999;3710337;8641856
Mar-1997;155;152;119;42;1614026.2202;2291842.71252;2181807.76045;1262673.57643;3781138;7123101;7317121;2429689;4326842;3710959;8724610
Apr-1997;144;142;114;36;1508645.52435;2141739.75191;2087721.57642;1077238.88725;3553731;6670670;6226180;2277350;4044314;3157996;8347967
May-1997;141;144;116;38;1477788.47047;2167344.01611;2128268.26404;1143349.00511;3488726;6759956;6631159;2230201;4085742;3363586;8516270
Jun-1997;137;139;123;37;1449108.25231;2088582.97276;2255315.88095;1114646.6294;3442397;6521287;6467419;2198591;3932778;3282233;9030330
Jul-1997;136;136;121;35;1436577.83053;2045563.54576;2220253.38305;1059301.70591;3416896;6385704;6156901;2179889;3854450;3128763;8888373
Aug-1997;137;132;118;38;1446840.5641;1985466.34329;2168494.67169;1148238.68036;3431645;6205554;6667794;2189968;3740785;3386304;8684171
Sep-1997;131;135;122;38;1378683.92974;2027747.2621;2245353.54575;1147619.19113;3262720;6349729;6664251;2082559;3814665;3383377;9001222
Oct-1997;130;132;120;40;1377115.15682;1978161.79227;2211139.74719;1193564.36524;3288157;6208053;6823424;2089524;3715339;3483647;8865027
Nov-1997;136;135;121;43;1441799.00126;2027859.95181;2226571.41949;1282600.70299;3453851;6366587;7332359;2191433;3814943;3741651;8936299
Dec-1997;134;132;117;42;1420091.42051;1983697.67326;2155473.86182;1240081.26783;3411038;6228560;7009902;2158368;3733142;3586600;8653221
Jan-1998;129;136;119;46;1371111.89618;2047724.4462;2219376.61144;1359664.26288;3305055;6413295;7708808;2088035;3858208;3934796;8865243
Feb-1998;126;127;117;50;1346029.81527;1911301.23507;2184121.84601;1479902.51507;3253030;5997372;8412128;2055226;3599831;4285933;8728824
