"","Handysize.Bulker.Orderbook..No.","Handymax.Bulker.Orderbook..No.","Panamax.Bulker.Orderbook..No.","Capesize.Bulker.Orderbook..No.","Handysize.Bulker.Orderbook..CGT.","Handymax.Bulker.Orderbook..CGT.","Panamax.Bulker.Orderbook..CGT.","Capesize.Bulker.Orderbook..CGT.","Handysize.Bulker.Orderbook..DWT.","Handymax.Bulker.Orderbook..DWT.","Capesize.Bulker.Orderbook..DWT.","Handysize.Bulker.Orderbook..GT.","Handymax.Bulker.Orderbook..GT.","Capesize.Bulker.Orderbook..GT.","Panamax.Bulker.Orderbook..DWT."
"01-02-2006",429.847442910226,320.773955465268,274.718001892562,166.751236497522,4188559.45289096,5291263.04681939,5324388.58170556,5437279.36791474,9821502.10869196,17410784.7366256,33278150.8620158,6120194.08485011,10572582.4053828,16891980.5356075,22073666.7110494
"02-02-2006",429.743772795918,320.55567017837,274.584391264009,166.605610667614,4186583.78853173,5287477.25310969,5321610.79109661,5432465.56443286,9815496.85598298,17396885.8434227,33249428.6007279,6116321.85466048,10564812.1119491,16876831.755711,22062147.2537941
"03-02-2006",429.644821993491,320.338863946377,274.460060977343,166.444727432505,4184681.4846873,5283725.37438446,5319022.24937388,5427173.50913046,9809689.34138944,17383124.4537452,33217838.3126752,6112587.53277743,10557122.0399136,16860271.1986927,22051377.097508
"04-02-2006",429.550590403842,320.123536552209,274.345010908072,166.268586631104,4182852.53945274,5280007.40688713,5316622.95394545,5421403.19670874,9804079.55909612,17369500.5538145,33183379.9662272,6108991.11546168,10549512.1815768,16842298.8479711,22041356.2314068
"05-02-2006",429.461077932628,319.909687780309,274.239240941023,166.077188087084,4181096.95099711,5276323.34689579,5314412.90240949,5415154.62139129,9798667.5034872,17356014.1299924,33146053.5268892,6105532.59911295,10541982.5293209,16822914.6855548,22032084.645459
"06-02-2006",429.376284490278,319.69731741663,274.14275097033,165.870531608865,4179414.71756333,5272673.1907229,5312392.09255395,5408427.77692357,9793453.16914581,17342665.1687796,33105858.9572989,6102211.98026965,10534533.0756088,16802118.6920411,22023562.3303848
"07-02-2006",429.296209991906,319.486425248579,274.055540899403,165.648616989576,4177805.83746742,5269056.9347145,5310560.52235587,5401222.65657175,9788436.55085218,17329453.6568132,33062796.2172203,6099029.2556077,10527163.8129835,16779910.8466125,22015789.2776527
"08-02-2006",429.220854357332,319.277011065021,273.977610640929,165.411444007051,4176270.30909851,5265474.57525019,5308918.18998156,5393539.2531226,9783617.64358368,17316379.5808667,33016865.2635419,6095984.42194054,10519874.7340672,16756291.1270361,22008765.4794807
"09-02-2006",429.150217511138,319.069074656341,273.908960116903,165.159012423885,4174808.13091971,5261926.10874416,5307465.0937871,5385377.55888515,9778996.44251701,17303442.9278533,32968066.0502878,6093077.47622059,10512665.831564,16731259.5096689,22002490.9288382
"10-02-2006",429.084299382604,318.862615814371,273.849589258597,164.891321987369,4173419.30146716,5258411.53164401,5306201.23231778,5376737.56568879,9774572.94302568,17290643.6848221,32916398.5286052,6090308.41553754,10505537.0982567,16704815.9694519,21996965.6194436
