"","World.Steel.Production..000.tonnes."
"01-02-2006",3210.21428571428
"02-02-2006",3210.21428571428
"03-02-2006",3210.21428571428
"04-02-2006",3210.21428571428
"05-02-2006",3210.21428571428
"06-02-2006",3210.21428571428
"07-02-2006",3210.21428571428
"08-02-2006",3210.21428571428
"09-02-2006",3210.21428571428
"10-02-2006",3210.21428571428
"11-02-2006",3210.21428571428
"12-02-2006",3210.21428571428
"13-02-2006",3210.21428571428
"14-02-2006",3210.21428571428
"15-02-2006",3210.21428571428
"16-02-2006",3210.21428571428
"17-02-2006",3210.21428571428
"18-02-2006",3210.21428571428
"19-02-2006",3210.21428571428
"20-02-2006",3210.21428571428
"21-02-2006",3210.21428571428
"22-02-2006",3210.21428571428
"23-02-2006",3210.21428571428
"24-02-2006",3210.21428571428
"25-02-2006",3210.21428571428
"26-02-2006",3210.21428571428
"27-02-2006",3210.21428571428
"28-02-2006",3210.21428571428
"01-03-2006",3246
"02-03-2006",3246
"03-03-2006",3246
"04-03-2006",3246
"05-03-2006",3246
"06-03-2006",3246
"07-03-2006",3246
"08-03-2006",3246
"09-03-2006",3246
"10-03-2006",3246
"11-03-2006",3246
"12-03-2006",3246
"13-03-2006",3246
"14-03-2006",3246
"15-03-2006",3246
"16-03-2006",3246
"17-03-2006",3246
"18-03-2006",3246
"19-03-2006",3246
"20-03-2006",3246
"21-03-2006",3246
"22-03-2006",3246
"23-03-2006",3246
"24-03-2006",3246
"25-03-2006",3246
"26-03-2006",3246
"27-03-2006",3246
"28-03-2006",3246
"29-03-2006",3246
"30-03-2006",3246
"31-03-2006",3246
"01-04-2006",3328.66666666666
"02-04-2006",3328.66666666666
"03-04-2006",3328.66666666666
"04-04-2006",3328.66666666666
"05-04-2006",3328.66666666666
"06-04-2006",3328.66666666666
"07-04-2006",3328.66666666666
"08-04-2006",3328.66666666666
"09-04-2006",3328.66666666666
"10-04-2006",3328.66666666666
"11-04-2006",3328.66666666666
"12-04-2006",3328.66666666666
"13-04-2006",3328.66666666666
"14-04-2006",3328.66666666666
"15-04-2006",3328.66666666666
"16-04-2006",3328.66666666666
"17-04-2006",3328.66666666666
"18-04-2006",3328.66666666666
"19-04-2006",3328.66666666666
"20-04-2006",3328.66666666666
"21-04-2006",3328.66666666666
"22-04-2006",3328.66666666666
"23-04-2006",3328.66666666666
"24-04-2006",3328.66666666666
"25-04-2006",3328.66666666666
"26-04-2006",3328.66666666666
"27-04-2006",3328.66666666666
"28-04-2006",3328.66666666666
"29-04-2006",3328.66666666666
"30-04-2006",3328.66666666666
"01-05-2006",3386.41935483871
"02-05-2006",3386.41935483871
"03-05-2006",3386.41935483871
"04-05-2006",3386.41935483871
"05-05-2006",3386.41935483871
"06-05-2006",3386.41935483871
"07-05-2006",3386.41935483871
"08-05-2006",3386.41935483871
"09-05-2006",3386.41935483871
"10-05-2006",3386.41935483871
"11-05-2006",3386.41935483871
"12-05-2006",3386.41935483871
"13-05-2006",3386.41935483871
"14-05-2006",3386.41935483871
"15-05-2006",3386.41935483871
"16-05-2006",3386.41935483871
