"","Handysize.Bulker.Sales..No.","Handymax.Bulker.Sales..No.","Panamax.Bulker.Sales..No.","Capesize.Sales..No.","Handysize.Bulker.Sales..DWT.","Handymax.Bulker.Sales..DWT.","Panamax.Bulker.Sales..DWT.","Capesize.Sales..DWT.","Handysize.Bulker.Sales...m.","Handymax.Bulker.Sales...m.","Panamax.Bulker.Sales...m.","Capesize.Sales...m.","Handysize.Bulker.Sales..GT.","Handymax.Bulker.Sales..GT.","Panamax.Bulker.Sales..GT.","Capesize.Sales..GT."
"01-02-2006",0.178571428571429,0.285714285714286,0.392857142857143,0.25,4838.17857142857,14362.7142857143,27413.4285714286,43082.3571428571,1.62321428571429,11.0821428571429,5.22142857142858,12.6678571428571,2824.60714285714,8286.74999999999,14840.3214285714,21957.8928571429
"02-02-2006",0.178571428571429,0.285714285714286,0.392857142857143,0.25,4838.17857142857,14362.7142857143,27413.4285714286,43082.3571428571,1.62321428571429,11.0821428571429,5.22142857142858,12.6678571428571,2824.60714285714,8286.74999999999,14840.3214285714,21957.8928571429
"03-02-2006",0.178571428571429,0.285714285714286,0.392857142857143,0.25,4838.17857142857,14362.7142857143,27413.4285714286,43082.3571428571,1.62321428571429,11.0821428571429,5.22142857142858,12.6678571428571,2824.60714285714,8286.74999999999,14840.3214285714,21957.8928571429
"04-02-2006",0.178571428571429,0.285714285714286,0.392857142857143,0.25,4838.17857142857,14362.7142857143,27413.4285714286,43082.3571428571,1.62321428571429,11.0821428571429,5.22142857142858,12.6678571428571,2824.60714285714,8286.74999999999,14840.3214285714,21957.8928571429
"05-02-2006",0.178571428571429,0.285714285714286,0.392857142857143,0.25,4838.17857142857,14362.7142857143,27413.4285714286,43082.3571428571,1.62321428571429,11.0821428571429,5.22142857142858,12.6678571428571,2824.60714285714,8286.74999999999,14840.3214285714,21957.8928571429
"06-02-2006",0.178571428571429,0.285714285714286,0.392857142857143,0.25,4838.17857142857,14362.7142857143,27413.4285714286,43082.3571428571,1.62321428571429,11.0821428571429,5.22142857142858,12.6678571428571,2824.60714285714,8286.74999999999,14840.3214285714,21957.8928571429
"07-02-2006",0.178571428571429,0.285714285714286,0.392857142857143,0.25,4838.17857142857,14362.7142857143,27413.4285714286,43082.3571428571,1.62321428571429,11.0821428571429,5.22142857142858,12.6678571428571,2824.60714285714,8286.74999999999,14840.3214285714,21957.8928571429
"08-02-2006",0.178571428571429,0.285714285714286,0.392857142857143,0.25,4838.17857142857,14362.7142857143,27413.4285714286,43082.3571428571,1.62321428571429,11.0821428571429,5.22142857142858,12.6678571428571,2824.60714285714,8286.74999999999,14840.3214285714,21957.8928571429
"09-02-2006",0.178571428571429,0.285714285714286,0.392857142857143,0.25,4838.17857142857,14362.7142857143,27413.4285714286,43082.3571428571,1.62321428571429,11.0821428571429,5.22142857142858,12.6678571428571,2824.60714285714,8286.74999999999,14840.3214285714,21957.8928571429
"10-02-2006",0.178571428571429,0.285714285714286,0.392857142857143,0.25,4838.17857142857,14362.7142857143,27413.4285714286,43082.3571428571,1.62321428571429,11.0821428571429,5.22142857142858,12.6678571428571,2824.60714285714,8286.74999999999,14840.3214285714,21957.8928571429
