Shipping Intelligence Network Timeseries;;;;;;;;;;;;;;;;
Created 23 February 2024 11:52;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Date;No;No;No;No;DWT;DWT;DWT;DWT;$m;$m;$m;$m;GT;GT;GT;GT
Date;Handysize Bulker Sales [No];Handymax Bulker Sales [No];Panamax Bulker Sales [No];Capesize Sales [No];Handysize Bulker Sales [DWT];Handymax Bulker Sales [DWT];Panamax Bulker Sales [DWT];Capesize Sales [DWT];Handysize Bulker Sales [$m];Handymax Bulker Sales [$m];Panamax Bulker Sales [$m];Capesize Sales [$m];Handysize Bulker Sales [GT];Handymax Bulker Sales [GT];Panamax Bulker Sales [GT];Capesize Sales [GT]
Jan-1995;37;11;7;0;972622;500841;462989;0;234.7;132.55;65.35;0;580019;291859;258534;0
Feb-1995;12;3;8;1;345939;143800;546396;148011;75.35;36.95;109.7;13.5;212851;84820;293910;75719
Mar-1995;18;6;8;3;454690;260245;538831;412000;120.77;49.5;67.2;53.5;277714;155372;297835;215654
Apr-1995;22;4;11;5;631074;169440;705781;717535;150.1;50.9;169.05;57.3;371441;109111;387003;375726
May-1995;23;2;6;1;671445;109474;439326;169521;135;9.7;39.02;5.8;397374;63177;240725;89262
Jun-1995;22;2;7;2;593320;86815;484922;295758;149.9;38.95;52.45;3.7;358332;54462;263032;153550
Jul-1995;13;9;5;3;343078;421439;346440;439642;82.65;97.8;66.2;54.8;209182;241403;189709;204071
Aug-1995;22;4;10;0;644683;176435;665053;0;201.15;28.9;96.5;0;393909;100430;356736;0
Sep-1995;29;5;10;1;808409;220733;648414;208000;227.85;68.45;74.65;20.5;490889;137673;347665;106812
Oct-1995;27;3;9;2;623977;137367;596043;263276;172.15;45.4;79.65;23;384035;75581;331151;136630
Nov-1995;32;6;10;1;928019;253397;674325;220681;225.35;59.7;91.25;20.5;572649;150476;379573;113342
Dec-1995;10;2;2;3;246110;83598;133407;482573;54.44;30.2;26;46.9;148637;54339;73059;248762
Jan-1996;15;8;3;0;378440;364573;199027;0;65.8;105.05;27.65;0;226530;220316;107229;0
Feb-1996;19;2;0;4;484739;97200;0;774299;96.025;20.7;0;95.75;298777;58522;0;374751
Mar-1996;15;5;5;4;315357;234181;313300;561140;60.155;55.85;56.05;38.45;193256;144573;173194;299341
Apr-1996;12;4;2;0;281628;176050;144376;0;69.96;48.2;12.65;0;169057;104299;83455;0
May-1996;18;3;2;0;450244;129253;128815;0;81.28;50.5;15.5;0;270017;75588;69476;0
Jun-1996;15;5;1;0;381156;217632;71749;0;87.5;59.175;19.6;0;230190;142205;38022;0
Jul-1996;8;2;1;1;178106;95270;80346;186000;31.95;9.85;8.75;22.25;118510;55683;43651;95291
Aug-1996;10;4;0;3;255524;173908;0;403648;48.25;61.2;0;41.75;148470;118077;0;214986
Sep-1996;8;2;2;1;223358;84842;150070;149000;40.2;31.1;23.95;25.5;131444;48200;80919;77273
Oct-1996;13;2;1;1;359418;83498;74900;180000;67.75;25.75;6;11.25;222415;52169;42627;92614
Nov-1996;17;2;3;2;431453;106948;194153;277736;64.15;5.3;19.05;8.125;264780;60922;113125;142176
Dec-1996;9;4;2;5;264437;176779;134277;665594;54.675;72.3;22.55;57.85;157715;104851;72304;357400
Jan-1997;18;6;11;1;509337;264209;723726;151380;149.51;37.3;95.65;27;329268;169189;400774;77304
Feb-1997;11;2;5;2;294719;90248;334516;266000;63.8;4;35.62;17.2;176045;49696;183620;143298
Mar-1997;24;6;9;5;554921;271204;610205;705876;158.65;72;81.15;56.95;347264;163073;350240;392856
Apr-1997;15;8;8;2;414687;390572;513200;255650;91.3;80.2;79;15.15;249165;227694;281362;134937
May-1997;16;2;8;2;468472;86891;546303;256595;82.8;27.3;112.715;16.2;282676;55188;295078;138089
Jun-1997;19;3;7;2;529734;136322;480918;249322;112.45;29.8;61.92;22.2;312419;77687;260310;132656
Jul-1997;15;2;7;3;458860;91929;457897;429753;59.05;28.8;80.5;39.15;281866;54169;250308;221944
Aug-1997;7;5;5;2;218397;226390;326212;318447;50.65;53;54.3;40.8;129088;132227;171227;165164
Sep-1997;13;3;9;3;397506;139633;605000;555361;95.7;23.7;121.75;111.2;242199;84247;328465;290838
Oct-1997;18;15;11;1;506319;717354;751134;110000;100.08;228.37;83.9;6;305630;424350;405340;60565
Nov-1997;8;3;6;5;202662;146641;405963;764341;62.75;14.9;106.65;81.75;125088;88683;222553;399064
Dec-1997;5;2;2;2;123667;83562;127254;351034;7.05;10;20.4;39.5;82669;49397;71268;186742
Jan-1998;9;4;1;7;202260;190064;63482;1090937;23;12.26;2.5;116.45;130520;107477;34837;580075
Feb-1998;4;3;1;2;100745;134499;64221;334641;13.9;29.7;7;23.5;63060;79026;34838;173516
Mar-1998;5;1;3;1;106514;42833;218349;134176;21.52;7.86;65;8.75;67125;24942;116043;75822
Apr-1998;3;4;0;2;115575;171803;0;248668;37;18.5;0;17.65;70765;100614;0;139902
May-1998;8;4;6;6;232653;175178;410895;925089;37.76;21.25;83.2;104.8;141385;102657;225881;483751
Jun-1998;11;4;2;0;304531;188499;145121;0;36.95;45.2;11.6;0;191596;122827;81216;0
Jul-1998;7;2;2;4;185082;85398;126712;788849;25.75;10.1;9.9;83;112645;50547;72602;410589
Aug-1998;17;2;2;0;473004;104651;133588;0;67.85;16.5;12;0;286562;63310;68064;0
Sep-1998;8;3;3;2;270122;129048;206500;322000;104.8;1.8;26.75;60;173322;87828;117346;162544
Oct-1998;8;3;6;0;252442;128525;408405;0;27.05;32.15;58.2;0;152179;68222;222394;0
Nov-1998;16;4;3;1;428520;172226;196250;139816;88.35;26.75;8.3;10.5;258034;115478;108380;76813
Dec-1998;3;1;1;1;64403;40460;64854;194000;14.7;6.85;2;12.5;38481;23279;39634;98943
Jan-1999;5;2;1;1;139278;89162;68884;171585;28.37;17.25;2.8;24.35;90075;50584;39537;90884
Feb-1999;7;2;7;1;210257;84055;469393;182008;16.8;4;37.92;14.3;124774;47835;248093;93310
Mar-1999;18;5;11;2;584525;239897;711640;390837;74.62;14.8;50.45;16.95;353993;157576;397798;200280
Apr-1999;23;4;1;0;687430;184028;64911;0;76.95;31.8;3.25;0;415991;112079;35680;0
May-1999;16;8;12;4;467238;358835;784855;603431;43.775;69.8;84.85;29.15;281165;206173;433967;321943
Jun-1999;9;1;6;1;235498;44710;415874;251192;28.87;3.7;51.85;14.5;143053;26718;226334;123958
Jul-1999;11;4;11;4;334428;177487;733746;647506;52.35;28.05;59.55;53.45;199468;102068;414741;329030
Aug-1999;14;5;6;1;396865;235112;386073;179845;71.06;37.9;43.2;11.9;235351;140041;219271;92300
Sep-1999;12;13;4;0;294383;572717;279663;0;39.25;130.5;56.3;0;177735;356452;146268;0
Oct-1999;19;10;7;5;553348;444348;490551;840001;90.75;102.5;82.85;58.7;333155;268448;261337;442261
Nov-1999;22;1;6;0;636730;40599;403119;0;141.2;5.9;28.4;0;385880;24577;216565;0
Dec-1999;5;0;1;1;143761;0;64482;164899;17.69;0;3.1;0;88604;0;35646;83784
Jan-2000;9;2;2;0;228074;90965;138160;0;36.56;27.2;7.95;0;135874;55871;75695;0
Feb-2000;13;0;7;1;387934;0;462304;194691;47.5;0;58.95;9.5;236258;0;263169;86208
Mar-2000;6;3;4;5;155938;133526;275366;752722;28.92;19.16;41.25;54.15;95654;82025;150179;394960
Apr-2000;7;7;3;2;184408;333242;197218;285519;19.35;50.1;25.75;19.05;110287;188184;107272;153448
May-2000;13;4;6;1;384830;181962;392130;136999;71.05;70;41;10.5;236475;105653;214913;71560
Jun-2000;19;5;5;2;530238;232453;342999;337052;79.09;33.2;41.5;43;329007;142427;180739;176226
Jul-2000;11;3;5;2;315257;147287;365113;328717;53.85;6.35;47.3;62.6;192498;88762;200317;171412
