;C4TC;C5TC;PMX;S10TC;S6TC;C4TC_5TC;SMX;CSZ
06/05/1998;;;7170;;;;;
07/05/1998;;;7156;;;;;
08/05/1998;;;7129;;;;;
11/05/1998;;;7094;;;;;
12/05/1998;;;7017;;;;;
13/05/1998;;;6960;;;;;
14/05/1998;;;6961;;;;;
15/05/1998;;;6982;;;;;
18/05/1998;;;7015;;;;;
19/05/1998;;;7018;;;;;
20/05/1998;;;7016;;;;;
21/05/1998;;;7013;;;;;
22/05/1998;;;6954;;;;;
26/05/1998;;;6875;;;;;
27/05/1998;;;6835;;;;;
28/05/1998;;;6758;;;;;
29/05/1998;;;6736;;;;;
01/06/1998;;;6680;;;;;
02/06/1998;;;6542;;;;;
03/06/1998;;;6450;;;;;
04/06/1998;;;6371;;;;;
05/06/1998;;;6314;;;;;
08/06/1998;;;6236;;;;;
09/06/1998;;;6214;;;;;
10/06/1998;;;6157;;;;;
11/06/1998;;;6157;;;;;
12/06/1998;;;6276;;;;;
15/06/1998;;;6414;;;;;
16/06/1998;;;6486;;;;;
17/06/1998;;;6507;;;;;
18/06/1998;;;6481;;;;;
19/06/1998;;;6446;;;;;
22/06/1998;;;6441;;;;;
23/06/1998;;;6397;;;;;
24/06/1998;;;6350;;;;;
25/06/1998;;;6267;;;;;
26/06/1998;;;6207;;;;;
29/06/1998;;;6171;;;;;
30/06/1998;;;6100;;;;;
01/07/1998;;;6025;;;;;
02/07/1998;;;5995;;;;;
03/07/1998;;;5953;;;;;
06/07/1998;;;5970;;;;;
07/07/1998;;;5970;;;;;
08/07/1998;;;6018;;;;;
09/07/1998;;;6056;;;;;
10/07/1998;;;6079;;;;;
13/07/1998;;;6089;;;;;
14/07/1998;;;6110;;;;;
15/07/1998;;;6096;;;;;
16/07/1998;;;6093;;;;;
17/07/1998;;;6114;;;;;
20/07/1998;;;6153;;;;;
21/07/1998;;;6120;;;;;
22/07/1998;;;6093;;;;;
23/07/1998;;;6073;;;;;
24/07/1998;;;6043;;;;;
27/07/1998;;;6000;;;;;
28/07/1998;;;5978;;;;;
29/07/1998;;;5943;;;;;
