Exchange Date,Trade Price
2024-02-12 00:00:00,1572
2024-02-09 00:00:00,1545
2024-02-08 00:00:00,1473
2024-02-07 00:00:00,1487
2024-02-06 00:00:00,1516
2024-02-05 00:00:00,1436
2024-02-02 00:00:00,1407
2024-02-01 00:00:00,1388
2024-01-31 00:00:00,1398
2024-01-30 00:00:00,1397
2024-01-29 00:00:00,1460
2024-01-26 00:00:00,1518
2024-01-25 00:00:00,1499
2024-01-24 00:00:00,1507
2024-01-23 00:00:00,1473
2024-01-22 00:00:00,1518
2024-01-19 00:00:00,1503
2024-01-18 00:00:00,1357
2024-01-17 00:00:00,1308
2024-01-16 00:00:00,1324
2024-01-15 00:00:00,1360
2024-01-12 00:00:00,1460
2024-01-11 00:00:00,1554
2024-01-10 00:00:00,1664
2024-01-09 00:00:00,1875
2024-01-08 00:00:00,2022
2024-01-05 00:00:00,2110
2024-01-04 00:00:00,2086
2024-01-03 00:00:00,2091
2024-01-02 00:00:00,2093
2023-12-22 00:00:00,2094
2023-12-21 00:00:00,2087
2023-12-20 00:00:00,2150
2023-12-19 00:00:00,2219
2023-12-18 00:00:00,2288
2023-12-15 00:00:00,2348
2023-12-14 00:00:00,2411
2023-12-13 00:00:00,2438
2023-12-12 00:00:00,2551
2023-12-11 00:00:00,2509
2023-12-08 00:00:00,2483
2023-12-07 00:00:00,2495
2023-12-06 00:00:00,2848
2023-12-05 00:00:00,3143
2023-12-04 00:00:00,3346
2023-12-01 00:00:00,3192
2023-11-30 00:00:00,2937
2023-11-29 00:00:00,2696
2023-11-28 00:00:00,2391
2023-11-27 00:00:00,2259
2023-11-24 00:00:00,2102
2023-11-23 00:00:00,1855
2023-11-22 00:00:00,1755
2023-11-21 00:00:00,1796
2023-11-20 00:00:00,1817
2023-11-17 00:00:00,1820
2023-11-16 00:00:00,1758
2023-11-15 00:00:00,1688
2023-11-14 00:00:00,1662
2023-11-13 00:00:00,1655
2023-11-10 00:00:00,1643
2023-11-09 00:00:00,1598
2023-11-08 00:00:00,1530
2023-11-07 00:00:00,1559
2023-11-06 00:00:00,1523
2023-11-03 00:00:00,1462
2023-11-02 00:00:00,1385
2023-11-01 00:00:00,1401
2023-10-31 00:00:00,1459
2023-10-30 00:00:00,1502
2023-10-27 00:00:00,1563
2023-10-26 00:00:00,1662
2023-10-25 00:00:00,1832
2023-10-24 00:00:00,1949
2023-10-23 00:00:00,2017
2023-10-20 00:00:00,2046
2023-10-19 00:00:00,2071
2023-10-18 00:00:00,2105
2023-10-17 00:00:00,2058
2023-10-16 00:00:00,1972
2023-10-13 00:00:00,1945
2023-10-12 00:00:00,1935
2023-10-11 00:00:00,1948
2023-10-10 00:00:00,1983
2023-10-09 00:00:00,1991
2023-10-06 00:00:00,1929
2023-10-05 00:00:00,1827
2023-10-04 00:00:00,1778
2023-10-03 00:00:00,1780
2023-10-02 00:00:00,1737
2023-09-29 00:00:00,1701
2023-09-28 00:00:00,1716
2023-09-27 00:00:00,1752
2023-09-26 00:00:00,1694
2023-09-25 00:00:00,1614
2023-09-22 00:00:00,1593
2023-09-21 00:00:00,1569
2023-09-20 00:00:00,1584
2023-09-19 00:00:00,1526
2023-09-18 00:00:00,1439
2023-09-15 00:00:00,1381
2023-09-14 00:00:00,1340
2023-09-13 00:00:00,1290
2023-09-12 00:00:00,1235
2023-09-11 00:00:00,1209
2023-09-08 00:00:00,1186
2023-09-07 00:00:00,1141
2023-09-06 00:00:00,1081
2023-09-05 00:00:00,1063
2023-09-04 00:00:00,1083
2023-09-01 00:00:00,1065
2023-08-31 00:00:00,1086
2023-08-30 00:00:00,1094
2023-08-29 00:00:00,1107
2023-08-25 00:00:00,1080
2023-08-24 00:00:00,1110
2023-08-23 00:00:00,1151
2023-08-22 00:00:00,1194
2023-08-21 00:00:00,1223
2023-08-18 00:00:00,1237
2023-08-17 00:00:00,1247
2023-08-16 00:00:00,1233
2023-08-15 00:00:00,1166
2023-08-14 00:00:00,1135
2023-08-11 00:00:00,1129
2023-08-10 00:00:00,1137
2023-08-09 00:00:00,1144
2023-08-08 00:00:00,1142
2023-08-07 00:00:00,1145
2023-08-04 00:00:00,1136
2023-08-03 00:00:00,1128
2023-08-02 00:00:00,1123
2023-08-01 00:00:00,1150
2023-07-31 00:00:00,1127
2023-07-28 00:00:00,1110
2023-07-27 00:00:00,1097
2023-07-26 00:00:00,1067
2023-07-25 00:00:00,962
2023-07-24 00:00:00,967
2023-07-21 00:00:00,978
2023-07-20 00:00:00,977
2023-07-19 00:00:00,1004
2023-07-18 00:00:00,1037
2023-07-17 00:00:00,1073
2023-07-14 00:00:00,1090
2023-07-13 00:00:00,1103
2023-07-12 00:00:00,1088
2023-07-11 00:00:00,1032
2023-07-10 00:00:00,1024
2023-07-07 00:00:00,1009
2023-07-06 00:00:00,993
2023-07-05 00:00:00,994
2023-07-04 00:00:00,1044
2023-07-03 00:00:00,1068
2023-06-30 00:00:00,1091
2023-06-29 00:00:00,1112
2023-06-28 00:00:00,1138
2023-06-27 00:00:00,1183
2023-06-26 00:00:00,1233
2023-06-23 00:00:00,1240
2023-06-22 00:00:00,1216
2023-06-21 00:00:00,1138
2023-06-20 00:00:00,1078
2023-06-19 00:00:00,1065
2023-06-16 00:00:00,1076
2023-06-15 00:00:00,1094
2023-06-14 00:00:00,1079
2023-06-13 00:00:00,1074
2023-06-12 00:00:00,1056
2023-06-09 00:00:00,1055
2023-06-08 00:00:00,1040
2023-06-07 00:00:00,1020
2023-06-06 00:00:00,1016
2023-06-05 00:00:00,939
2023-06-02 00:00:00,919
2023-06-01 00:00:00,937
2023-05-31 00:00:00,977
2023-05-30 00:00:00,1123
2023-05-26 00:00:00,1172
2023-05-25 00:00:00,1215
2023-05-24 00:00:00,1295
2023-05-23 00:00:00,1348
2023-05-22 00:00:00,1365
2023-05-19 00:00:00,1384
2023-05-18 00:00:00,1402
2023-05-17 00:00:00,1425
2023-05-16 00:00:00,1476
2023-05-15 00:00:00,1522
2023-05-12 00:00:00,1558
2023-05-11 00:00:00,1608
2023-05-10 00:00:00,1640
2023-05-09 00:00:00,1598
2023-05-05 00:00:00,1558
2023-05-04 00:00:00,1545
2023-05-03 00:00:00,1558
2023-05-02 00:00:00,1552
2023-04-28 00:00:00,1576
2023-04-27 00:00:00,1581
2023-04-26 00:00:00,1536
2023-04-25 00:00:00,1510
2023-04-24 00:00:00,1517
2023-04-21 00:00:00,1504
2023-04-20 00:00:00,1432
2023-04-19 00:00:00,1372
2023-04-18 00:00:00,1368
2023-04-17 00:00:00,1412
2023-04-14 00:00:00,1435
2023-04-13 00:00:00,1463
2023-04-12 00:00:00,1463
2023-04-11 00:00:00,1507
2023-04-06 00:00:00,1560
2023-04-05 00:00:00,1525
2023-04-04 00:00:00,1473
2023-04-03 00:00:00,1412
2023-03-31 00:00:00,1389
2023-03-30 00:00:00,1403
2023-03-29 00:00:00,1407
2023-03-28 00:00:00,1402
2023-03-27 00:00:00,1456
2023-03-24 00:00:00,1489
2023-03-23 00:00:00,1484
2023-03-22 00:00:00,1456
2023-03-21 00:00:00,1512
2023-03-20 00:00:00,1542
2023-03-17 00:00:00,1535
2023-03-16 00:00:00,1560
2023-03-15 00:00:00,1603
2023-03-14 00:00:00,1587
2023-03-13 00:00:00,1465
2023-03-10 00:00:00,1424
2023-03-09 00:00:00,1379
2023-03-08 00:00:00,1327
2023-03-07 00:00:00,1298
2023-03-06 00:00:00,1258
2023-03-03 00:00:00,1211
2023-03-02 00:00:00,1145
2023-03-01 00:00:00,1099
2023-02-28 00:00:00,990
2023-02-27 00:00:00,935
2023-02-24 00:00:00,883
2023-02-23 00:00:00,816
2023-02-22 00:00:00,674
2023-02-21 00:00:00,594
2023-02-20 00:00:00,552
2023-02-17 00:00:00,538
2023-02-16 00:00:00,530
2023-02-15 00:00:00,541
2023-02-14 00:00:00,563
2023-02-13 00:00:00,616
2023-02-10 00:00:00,602
2023-02-09 00:00:00,592
2023-02-08 00:00:00,603
2023-02-07 00:00:00,601
2023-02-06 00:00:00,608
2023-02-03 00:00:00,621
2023-02-02 00:00:00,640
2023-02-01 00:00:00,668
2023-01-31 00:00:00,681
2023-01-30 00:00:00,680
2023-01-27 00:00:00,676
2023-01-26 00:00:00,677
2023-01-25 00:00:00,703
2023-01-24 00:00:00,721
2023-01-23 00:00:00,740
2023-01-20 00:00:00,763
2023-01-19 00:00:00,801
2023-01-18 00:00:00,874
2023-01-17 00:00:00,921
2023-01-16 00:00:00,946
2023-01-13 00:00:00,946
2023-01-12 00:00:00,976
2023-01-11 00:00:00,1043
2023-01-10 00:00:00,1096
2023-01-09 00:00:00,1139
2023-01-06 00:00:00,1130
2023-01-05 00:00:00,1146
2023-01-04 00:00:00,1176
2023-01-03 00:00:00,1250
2022-12-23 00:00:00,1515
2022-12-22 00:00:00,1650
2022-12-21 00:00:00,1723
2022-12-20 00:00:00,1596
2022-12-19 00:00:00,1548
2022-12-16 00:00:00,1560
2022-12-15 00:00:00,1528
2022-12-14 00:00:00,1401
2022-12-13 00:00:00,1357
2022-12-12 00:00:00,1361
2022-12-09 00:00:00,1386
2022-12-08 00:00:00,1385
2022-12-07 00:00:00,1373
2022-12-06 00:00:00,1340
2022-12-05 00:00:00,1323
2022-12-02 00:00:00,1324
2022-12-01 00:00:00,1338
2022-11-30 00:00:00,1355
2022-11-29 00:00:00,1327
2022-11-28 00:00:00,1347
2022-11-25 00:00:00,1324
2022-11-24 00:00:00,1242
2022-11-23 00:00:00,1184
2022-11-22 00:00:00,1149
2022-11-21 00:00:00,1177
2022-11-18 00:00:00,1189
2022-11-17 00:00:00,1228
2022-11-16 00:00:00,1288
2022-11-15 00:00:00,1300
2022-11-14 00:00:00,1325
2022-11-11 00:00:00,1355
2022-11-10 00:00:00,1390
2022-11-09 00:00:00,1393
2022-11-08 00:00:00,1356
2022-11-07 00:00:00,1337
2022-11-04 00:00:00,1323
2022-11-03 00:00:00,1290
2022-11-02 00:00:00,1321
2022-11-01 00:00:00,1377
2022-10-31 00:00:00,1463
2022-10-28 00:00:00,1534
2022-10-27 00:00:00,1612
2022-10-26 00:00:00,1706
2022-10-25 00:00:00,1755
2022-10-24 00:00:00,1797
2022-10-21 00:00:00,1819
2022-10-20 00:00:00,1837
2022-10-19 00:00:00,1871
2022-10-18 00:00:00,1875
2022-10-17 00:00:00,1843
2022-10-14 00:00:00,1838
2022-10-13 00:00:00,1818
2022-10-12 00:00:00,1873
2022-10-11 00:00:00,1904
2022-10-10 00:00:00,1944
2022-10-07 00:00:00,1961
2022-10-06 00:00:00,1992
2022-10-05 00:00:00,1996
2022-10-04 00:00:00,1865
2022-10-03 00:00:00,1788
2022-09-30 00:00:00,1760
2022-09-29 00:00:00,1757
2022-09-28 00:00:00,1799
2022-09-27 00:00:00,1807
2022-09-26 00:00:00,1813
2022-09-23 00:00:00,1816
2022-09-22 00:00:00,1720
2022-09-21 00:00:00,1746
2022-09-20 00:00:00,1729
2022-09-16 00:00:00,1553
2022-09-15 00:00:00,1612
2022-09-14 00:00:00,1595
2022-09-13 00:00:00,1408
2022-09-12 00:00:00,1256
2022-09-09 00:00:00,1213
2022-09-08 00:00:00,1178
2022-09-07 00:00:00,1133
2022-09-06 00:00:00,1114
2022-09-05 00:00:00,1133
2022-09-02 00:00:00,1086
2022-09-01 00:00:00,1002
2022-08-31 00:00:00,965
2022-08-30 00:00:00,1017
2022-08-26 00:00:00,1082
2022-08-25 00:00:00,1123
2022-08-24 00:00:00,1213
2022-08-23 00:00:00,1271
2022-08-22 00:00:00,1270
2022-08-19 00:00:00,1279
2022-08-18 00:00:00,1320
2022-08-17 00:00:00,1394
2022-08-16 00:00:00,1387
2022-08-15 00:00:00,1404
2022-08-12 00:00:00,1477
2022-08-11 00:00:00,1556
2022-08-10 00:00:00,1592
2022-08-09 00:00:00,1564
2022-08-08 00:00:00,1566
2022-08-05 00:00:00,1560
2022-08-04 00:00:00,1603
2022-08-03 00:00:00,1731
2022-08-02 00:00:00,1817
2022-08-01 00:00:00,1872
2022-07-29 00:00:00,1895
2022-07-28 00:00:00,1945
2022-07-27 00:00:00,2007
2022-07-26 00:00:00,2061
2022-07-25 00:00:00,2114
2022-07-22 00:00:00,2146
2022-07-21 00:00:00,2118
2022-07-20 00:00:00,2113
2022-07-19 00:00:00,2145
2022-07-18 00:00:00,2162
2022-07-15 00:00:00,2150
2022-07-14 00:00:00,2010
2022-07-13 00:00:00,2002
2022-07-12 00:00:00,2013
2022-07-11 00:00:00,2081
2022-07-08 00:00:00,2067
2022-07-07 00:00:00,2073
2022-07-06 00:00:00,2043
2022-07-05 00:00:00,2098
2022-07-04 00:00:00,2159
2022-07-01 00:00:00,2214
2022-06-30 00:00:00,2240
2022-06-29 00:00:00,2186
2022-06-28 00:00:00,2204
2022-06-27 00:00:00,2295
2022-06-24 00:00:00,2331
2022-06-23 00:00:00,2354
2022-06-22 00:00:00,2349
2022-06-21 00:00:00,2484
2022-06-20 00:00:00,2596
2022-06-17 00:00:00,2578
2022-06-16 00:00:00,2462
2022-06-15 00:00:00,2387
2022-06-14 00:00:00,2284
2022-06-13 00:00:00,2260
2022-06-10 00:00:00,2320
2022-06-09 00:00:00,2342
2022-06-08 00:00:00,2410
2022-06-07 00:00:00,2514
2022-06-06 00:00:00,2560
2022-06-01 00:00:00,2633
2022-05-31 00:00:00,2566
2022-05-30 00:00:00,2571
2022-05-27 00:00:00,2681
2022-05-26 00:00:00,2933
2022-05-25 00:00:00,3127
2022-05-24 00:00:00,3253
2022-05-23 00:00:00,3369
2022-05-20 00:00:00,3344
2022-05-19 00:00:00,3289
2022-05-18 00:00:00,3189
2022-05-17 00:00:00,3095
2022-05-16 00:00:00,3085
2022-05-13 00:00:00,3104
2022-05-12 00:00:00,3117
2022-05-11 00:00:00,3052
2022-05-10 00:00:00,2939
2022-05-09 00:00:00,2831
2022-05-06 00:00:00,2718
2022-05-05 00:00:00,2644
2022-05-04 00:00:00,2485
2022-05-03 00:00:00,2412
2022-04-29 00:00:00,2404
2022-04-28 00:00:00,2403
2022-04-27 00:00:00,2425
2022-04-26 00:00:00,2404
2022-04-25 00:00:00,2356
2022-04-22 00:00:00,2307
2022-04-21 00:00:00,2239
2022-04-20 00:00:00,2142
2022-04-19 00:00:00,2115
2022-04-14 00:00:00,2137
2022-04-13 00:00:00,2068
2022-04-12 00:00:00,2035
2022-04-11 00:00:00,2031
2022-04-08 00:00:00,2055
2022-04-07 00:00:00,2061
2022-04-06 00:00:00,2128
2022-04-05 00:00:00,2213
2022-04-04 00:00:00,2307
2022-04-01 00:00:00,2357
2022-03-31 00:00:00,2358
2022-03-30 00:00:00,2369
2022-03-29 00:00:00,2417
2022-03-28 00:00:00,2484
2022-03-25 00:00:00,2544
2022-03-24 00:00:00,2567
2022-03-23 00:00:00,2575
2022-03-22 00:00:00,2546
2022-03-21 00:00:00,2589
2022-03-18 00:00:00,2605
2022-03-17 00:00:00,2588
2022-03-16 00:00:00,2591
2022-03-15 00:00:00,2689
2022-03-14 00:00:00,2727
2022-03-11 00:00:00,2718
2022-03-10 00:00:00,2704
2022-03-09 00:00:00,2558
2022-03-08 00:00:00,2352
2022-03-07 00:00:00,2235
2022-03-04 00:00:00,2148
2022-03-03 00:00:00,2104
2022-03-02 00:00:00,2137
2022-03-01 00:00:00,2069
2022-02-28 00:00:00,2040
2022-02-25 00:00:00,2076
2022-02-24 00:00:00,2187
2022-02-23 00:00:00,2244
2022-02-22 00:00:00,2148
2022-02-21 00:00:00,2045
2022-02-18 00:00:00,1964
2022-02-17 00:00:00,1886
2022-02-16 00:00:00,1896
2022-02-15 00:00:00,1968
2022-02-14 00:00:00,1984
2022-02-11 00:00:00,1977
2022-02-10 00:00:00,1940
2022-02-09 00:00:00,1711
2022-02-08 00:00:00,1503
2022-02-07 00:00:00,1422
2022-02-04 00:00:00,1423
2022-02-03 00:00:00,1425
2022-02-02 00:00:00,1419
2022-02-01 00:00:00,1440
2022-01-31 00:00:00,1418
2022-01-28 00:00:00,1381
2022-01-27 00:00:00,1302
2022-01-26 00:00:00,1296
2022-01-25 00:00:00,1343
2022-01-24 00:00:00,1391
2022-01-21 00:00:00,1415
2022-01-20 00:00:00,1474
2022-01-19 00:00:00,1570
2022-01-18 00:00:00,1644
2022-01-17 00:00:00,1731
2022-01-14 00:00:00,1764
2022-01-13 00:00:00,1873
2022-01-12 00:00:00,2027
2022-01-11 00:00:00,2151
2022-01-10 00:00:00,2277
2022-01-07 00:00:00,2289
2022-01-06 00:00:00,2296
2022-01-05 00:00:00,2289
2022-01-04 00:00:00,2285
2021-12-24 00:00:00,2217
2021-12-23 00:00:00,2219
2021-12-22 00:00:00,2229
2021-12-21 00:00:00,2294
2021-12-20 00:00:00,2371
2021-12-17 00:00:00,2379
2021-12-16 00:00:00,2498
2021-12-15 00:00:00,2665
2021-12-14 00:00:00,2932
2021-12-13 00:00:00,3216
2021-12-10 00:00:00,3272
2021-12-09 00:00:00,3343
2021-12-08 00:00:00,3423
2021-12-07 00:00:00,3352
2021-12-06 00:00:00,3235
2021-12-03 00:00:00,3171
2021-12-02 00:00:00,3115
2021-12-01 00:00:00,3047
2021-11-30 00:00:00,3018
2021-11-29 00:00:00,2881
2021-11-26 00:00:00,2767
2021-11-25 00:00:00,2678
2021-11-24 00:00:00,2654
2021-11-23 00:00:00,2715
2021-11-22 00:00:00,2645
2021-11-19 00:00:00,2552
2021-11-18 00:00:00,2454
2021-11-17 00:00:00,2430
2021-11-16 00:00:00,2591
2021-11-15 00:00:00,2759
2021-11-12 00:00:00,2807
2021-11-11 00:00:00,2844
2021-11-10 00:00:00,2861
2021-11-09 00:00:00,2805
2021-11-08 00:00:00,2718
2021-11-05 00:00:00,2715
2021-11-04 00:00:00,2769
2021-11-03 00:00:00,2892
2021-11-02 00:00:00,3187
2021-11-01 00:00:00,3428
2021-10-29 00:00:00,3519
2021-10-28 00:00:00,3630
2021-10-27 00:00:00,3808
2021-10-26 00:00:00,4056
2021-10-25 00:00:00,4257
2021-10-22 00:00:00,4410
2021-10-21 00:00:00,4653
2021-10-20 00:00:00,4751
2021-10-19 00:00:00,4714
2021-10-18 00:00:00,4732
2021-10-15 00:00:00,4854
2021-10-14 00:00:00,5062
2021-10-13 00:00:00,5206
2021-10-12 00:00:00,5378
2021-10-11 00:00:00,5488
2021-10-08 00:00:00,5526
2021-10-07 00:00:00,5650
2021-10-06 00:00:00,5647
2021-10-05 00:00:00,5409
2021-10-04 00:00:00,5267
2021-10-01 00:00:00,5202
2021-09-30 00:00:00,5167
2021-09-29 00:00:00,5197
2021-09-28 00:00:00,4962
2021-09-27 00:00:00,4717
2021-09-24 00:00:00,4644
2021-09-23 00:00:00,4651
2021-09-22 00:00:00,4560
2021-09-21 00:00:00,4410
2021-09-20 00:00:00,4304
2021-09-17 00:00:00,4275
2021-09-16 00:00:00,4215
2021-09-15 00:00:00,4233
2021-09-14 00:00:00,4221
2021-09-13 00:00:00,4163
2021-09-10 00:00:00,3864
2021-09-09 00:00:00,3643
2021-09-08 00:00:00,3618
2021-09-07 00:00:00,3707
2021-09-06 00:00:00,3822
2021-09-03 00:00:00,3944
2021-09-02 00:00:00,4001
2021-09-01 00:00:00,4013
2021-08-31 00:00:00,4132
2021-08-27 00:00:00,4235
2021-08-26 00:00:00,4195
2021-08-25 00:00:00,4193
2021-08-24 00:00:00,4201
2021-08-23 00:00:00,4147
2021-08-20 00:00:00,4092
2021-08-19 00:00:00,3976
2021-08-18 00:00:00,3833
2021-08-17 00:00:00,3657
2021-08-16 00:00:00,3606
2021-08-13 00:00:00,3566
2021-08-12 00:00:00,3503
2021-08-11 00:00:00,3410
2021-08-10 00:00:00,3375
2021-08-09 00:00:00,3371
2021-08-06 00:00:00,3371
2021-08-05 00:00:00,3376
2021-08-04 00:00:00,3318
2021-08-03 00:00:00,3281
2021-08-02 00:00:00,3282
2021-07-30 00:00:00,3292
2021-07-29 00:00:00,3214
2021-07-28 00:00:00,3154
2021-07-27 00:00:00,3166
2021-07-26 00:00:00,3210
2021-07-23 00:00:00,3199
2021-07-22 00:00:00,3103
2021-07-21 00:00:00,3058
2021-07-20 00:00:00,3053
2021-07-19 00:00:00,3059
2021-07-16 00:00:00,3039
2021-07-15 00:00:00,3073
2021-07-14 00:00:00,3139
2021-07-13 00:00:00,3228
2021-07-12 00:00:00,3300
2021-07-09 00:00:00,3300
2021-07-08 00:00:00,3281
2021-07-07 00:00:00,3241
2021-07-06 00:00:00,3179
2021-07-05 00:00:00,3224
2021-07-02 00:00:00,3285
2021-07-01 00:00:00,3338
2021-06-30 00:00:00,3383
2021-06-29 00:00:00,3418
2021-06-28 00:00:00,3324
2021-06-25 00:00:00,3255
2021-06-24 00:00:00,3175
2021-06-23 00:00:00,3147
2021-06-22 00:00:00,3119
2021-06-21 00:00:00,3190
2021-06-18 00:00:00,3218
2021-06-17 00:00:00,3267
2021-06-16 00:00:00,3176
2021-06-15 00:00:00,3025
2021-06-14 00:00:00,2944
2021-06-11 00:00:00,2857
2021-06-10 00:00:00,2669
2021-06-09 00:00:00,2481
2021-06-08 00:00:00,2420
2021-06-07 00:00:00,2428
2021-06-04 00:00:00,2438
2021-06-03 00:00:00,2472
2021-06-02 00:00:00,2530
2021-06-01 00:00:00,2568
2021-05-28 00:00:00,2596
2021-05-27 00:00:00,2688
2021-05-26 00:00:00,2754
2021-05-25 00:00:00,2809
2021-05-24 00:00:00,2881
2021-05-21 00:00:00,2869
2021-05-20 00:00:00,2824
2021-05-19 00:00:00,2801
2021-05-18 00:00:00,2795
2021-05-17 00:00:00,2856
2021-05-14 00:00:00,2939
2021-05-13 00:00:00,3077
2021-05-12 00:00:00,3139
2021-05-11 00:00:00,3254
2021-05-10 00:00:00,3240
2021-05-07 00:00:00,3183
2021-05-06 00:00:00,3212
2021-05-05 00:00:00,3266
2021-05-04 00:00:00,3157
2021-04-30 00:00:00,3053
2021-04-29 00:00:00,3007
2021-04-28 00:00:00,2957
2021-04-27 00:00:00,2889
2021-04-26 00:00:00,2808
2021-04-23 00:00:00,2788
2021-04-22 00:00:00,2750
2021-04-21 00:00:00,2710
2021-04-20 00:00:00,2472
2021-04-19 00:00:00,2432
2021-04-16 00:00:00,2385
2021-04-15 00:00:00,2323
2021-04-14 00:00:00,2178
2021-04-13 00:00:00,2140
2021-04-12 00:00:00,2145
2021-04-09 00:00:00,2085
2021-04-08 00:00:00,2088
2021-04-07 00:00:00,2127
2021-04-06 00:00:00,2092
2021-04-01 00:00:00,2072
2021-03-31 00:00:00,2046
2021-03-30 00:00:00,2103
2021-03-29 00:00:00,2162
2021-03-26 00:00:00,2178
2021-03-25 00:00:00,2172
2021-03-24 00:00:00,2194
2021-03-23 00:00:00,2271
2021-03-22 00:00:00,2319
2021-03-19 00:00:00,2281
2021-03-18 00:00:00,2215
2021-03-17 00:00:00,2105
2021-03-16 00:00:00,2017
2021-03-15 00:00:00,1983
2021-03-12 00:00:00,1960
2021-03-11 00:00:00,1970
2021-03-10 00:00:00,1980
2021-03-09 00:00:00,1901
2021-03-08 00:00:00,1853
2021-03-05 00:00:00,1829
2021-03-04 00:00:00,1779
2021-03-03 00:00:00,1763
2021-03-02 00:00:00,1673
2021-03-01 00:00:00,1651
2021-02-26 00:00:00,1675
2021-02-25 00:00:00,1700
2021-02-24 00:00:00,1709
2021-02-23 00:00:00,1727
2021-02-22 00:00:00,1709
2021-02-19 00:00:00,1698
2021-02-18 00:00:00,1770
2021-02-17 00:00:00,1756
2021-02-16 00:00:00,1495
2021-02-15 00:00:00,1364
2021-02-12 00:00:00,1339
2021-02-11 00:00:00,1313
2021-02-10 00:00:00,1303
2021-02-09 00:00:00,1306
2021-02-08 00:00:00,1317
2021-02-05 00:00:00,1333
2021-02-04 00:00:00,1327
2021-02-03 00:00:00,1327
2021-02-02 00:00:00,1380
2021-02-01 00:00:00,1444
2021-01-29 00:00:00,1452
2021-01-28 00:00:00,1470
2021-01-27 00:00:00,1540
2021-01-26 00:00:00,1659
2021-01-25 00:00:00,1765
2021-01-22 00:00:00,1810
2021-01-21 00:00:00,1837
2021-01-20 00:00:00,1828
2021-01-19 00:00:00,1766
2021-01-18 00:00:00,1740
2021-01-15 00:00:00,1754
2021-01-14 00:00:00,1792
2021-01-13 00:00:00,1856
