Exchange Date,Trade Price
2024-02-16 00:00:00,1572
2024-02-09 00:00:00,1545
2024-02-02 00:00:00,1407
2024-01-26 00:00:00,1518
2024-01-19 00:00:00,1503
2024-01-12 00:00:00,1460
2024-01-05 00:00:00,2110
2023-12-22 00:00:00,2094
2023-12-15 00:00:00,2348
2023-12-08 00:00:00,2483
2023-12-01 00:00:00,3192
2023-11-24 00:00:00,2102
2023-11-17 00:00:00,1820
2023-11-10 00:00:00,1643
2023-11-03 00:00:00,1462
2023-10-27 00:00:00,1563
2023-10-20 00:00:00,2046
2023-10-13 00:00:00,1945
2023-10-06 00:00:00,1929
2023-09-29 00:00:00,1701
2023-09-22 00:00:00,1593
2023-09-15 00:00:00,1381
2023-09-08 00:00:00,1186
2023-09-01 00:00:00,1065
2023-08-25 00:00:00,1080
2023-08-18 00:00:00,1237
2023-08-11 00:00:00,1129
2023-08-04 00:00:00,1136
2023-07-28 00:00:00,1110
2023-07-21 00:00:00,978
2023-07-14 00:00:00,1090
2023-07-07 00:00:00,1009
2023-06-30 00:00:00,1091
2023-06-23 00:00:00,1240
2023-06-16 00:00:00,1076
2023-06-09 00:00:00,1055
2023-06-02 00:00:00,919
2023-05-26 00:00:00,1172
2023-05-19 00:00:00,1384
2023-05-12 00:00:00,1558
2023-05-05 00:00:00,1558
2023-04-28 00:00:00,1576
2023-04-21 00:00:00,1504
2023-04-14 00:00:00,1435
2023-04-07 00:00:00,1560
2023-03-31 00:00:00,1389
2023-03-24 00:00:00,1489
2023-03-17 00:00:00,1535
2023-03-10 00:00:00,1424
2023-03-03 00:00:00,1211
2023-02-24 00:00:00,883
2023-02-17 00:00:00,538
2023-02-10 00:00:00,602
2023-02-03 00:00:00,621
2023-01-27 00:00:00,676
2023-01-20 00:00:00,763
2023-01-13 00:00:00,946
2023-01-06 00:00:00,1130
2022-12-23 00:00:00,1515
2022-12-16 00:00:00,1560
2022-12-09 00:00:00,1386
2022-12-02 00:00:00,1324
2022-11-25 00:00:00,1324
2022-11-18 00:00:00,1189
2022-11-11 00:00:00,1355
2022-11-04 00:00:00,1323
2022-10-28 00:00:00,1534
2022-10-21 00:00:00,1819
2022-10-14 00:00:00,1838
2022-10-07 00:00:00,1961
2022-09-30 00:00:00,1760
2022-09-23 00:00:00,1816
2022-09-16 00:00:00,1553
2022-09-09 00:00:00,1213
2022-09-02 00:00:00,1086
2022-08-26 00:00:00,1082
2022-08-19 00:00:00,1279
2022-08-12 00:00:00,1477
2022-08-05 00:00:00,1560
2022-07-29 00:00:00,1895
2022-07-22 00:00:00,2146
2022-07-15 00:00:00,2150
2022-07-08 00:00:00,2067
2022-07-01 00:00:00,2214
2022-06-24 00:00:00,2331
2022-06-17 00:00:00,2578
2022-06-10 00:00:00,2320
2022-06-03 00:00:00,2633
2022-05-27 00:00:00,2681
2022-05-20 00:00:00,3344
2022-05-13 00:00:00,3104
2022-05-06 00:00:00,2718
2022-04-29 00:00:00,2404
2022-04-22 00:00:00,2307
2022-04-15 00:00:00,2137
2022-04-08 00:00:00,2055
2022-04-01 00:00:00,2357
2022-03-25 00:00:00,2544
2022-03-18 00:00:00,2605
2022-03-11 00:00:00,2718
2022-03-04 00:00:00,2148
2022-02-25 00:00:00,2076
2022-02-18 00:00:00,1964
